case,pos,marker,draft_text,emitted_text,emitted_is_marker,p,q,target_rank,target_top1_prob
case_002,72,wait, Wait, Actually,True,0.21064653,0.4732419,1,0.735229
case_002,357,but, But, Also,False,0.10501376,0.14552638,1,0.684776
case_002,397,but, But, For,False,0.0354985,0.01918861,3,0.490042
case_002,837,but, But, So,False,0.02721514,0.21088015,2,0.795343
case_002,877,actually, Actually, Wait,True,0.11139601,0.20006184,3,0.38881
case_002,1013,but, But, Therefore,False,0.1033567,0.18011142,1,0.594777
case_002,1170,but, But, Wait,True,0.19398335,0.28559297,2,0.282244
case_002,1414,lets, Let's, Use,False,0.14975293,0.12029794,2,0.317027
case_002,4222,lets, Let's, Wait,True,0.21604227,0.33290654,1,0.754062
case_002,6230,lets, Let's, But,True,0.19635572,0.40592429,1,0.53375
case_002,8841,lets, Let's, But,True,0.23539342,0.49048454,1,0.639866
case_002,9474,but,But,Consider,False,0.03874706,0.03625809,6,0.324425
case_002,10368,wait, Wait, Which,False,0.13629536,0.47253737,1,0.475718
case_002,11328,actually, Actually, Let's,True,0.03211889,0.08250076,4,0.502424
case_002,12576,but, But, So,False,0.06805564,0.07995339,1,0.829087
case_002,15493,wait, Wait, Actually,True,0.08744573,0.20099165,3,0.391905
case_002,16882,lets, Let's, ,False,0.01409839,0.02741018,3,0.872236
case_002,17212,actually, Actually, Wait,True,0.02995817,0.11096878,4,0.41356
case_002,18561,lets, Let's, ,False,0.17617451,0.14183663,2,0.478892
case_002,19235,lets, Let's, ,False,0.38528746,0.36692846,1,0.56059
case_002,19369,lets, Let's, gcd,False,0.01331192,0.01359663,2,0.499526
case_002,20914,but,But,BD,False,0.05683737,0.07014076,2,0.539258
case_002,21492,wait,Wait,Set,False,0.00153829,0.01306988,25,0.258701
case_002,23626,actually, Actually, ,False,0.25459406,0.25078192,1,0.538976
case_002,24411,but, But, The,False,0.06931598,0.16073278,3,0.51218
case_002,24921,actually, Actually, Wait,True,0.06456298,0.07159358,2,0.694117
case_002,25001,but, But, So,False,0.21433064,0.27667102,1,0.582611
case_002,25051,hmm, Hmm, So,False,0.00023421,0.00042094,56,0.510793
case_002,26684,lets, Let's, Maybe,False,0.1891274,0.21702562,1,0.275179
case_002,26706,but, But, That,False,0.03616194,0.17348711,4,0.4992
case_002,27457,lets, Let's, Actually,True,0.06463101,0.10362734,2,0.694849
case_002,28210,lets, Let's, So,False,0.06620064,0.10671666,2,0.711724
case_002,31925,but,But,Let's,True,0.02708269,0.12518772,4,0.616399
case_002,31926,actually, actually, derive,False,0.00072356,0.00074922,32,0.580522
case_003,1026,but, But, So,False,0.01933257,0.04494594,1,0.931495
case_003,3368,lets, Let's, For,False,0.0791811,0.16642942,3,0.167626
case_003,5450,wait, Wait, Let's,True,0.02301734,0.06859834,2,0.86372
case_003,6361,actually, Actually, Wait,True,0.2368636,0.21948951,1,0.729591
case_003,6797,but, But, Let's,True,0.05186077,0.09067858,2,0.631794
case_003,9018,wait, Wait, But,True,0.32803655,0.60701066,1,0.540841
case_003,9128,but, but, including,False,0.1597959,0.50018048,1,0.492206
case_003,9217,but,But,Thus,False,0.00413483,0.01328906,6,0.892875
case_003,9535,but, But, So,False,0.15661329,0.31453642,1,0.701892
case_003,9642,but, But, Wait,True,0.07385287,0.109715,3,0.545703
case_003,9764,but, but,.,False,0.10277139,0.12938984,1,0.670154
case_003,10203,but, but,",",False,0.01320914,0.00918466,6,0.561667
case_003,11230,lets,Let's,Let,False,0.01322784,0.10298575,12,0.562462
case_003,11278,but, But, To,False,0.13582146,0.14180039,3,0.369201
case_003,13232,but, but, ,False,0.03878426,0.0722044,5,0.252905
case_003,13457,lets,Let's,But,True,0.12956774,0.11823726,1,0.399097
case_003,13491,lets,Let's,We,False,0.04987925,0.17235443,4,0.473241
case_003,18278,but, But, Suppose,False,0.01519651,0.04236356,9,0.345871
case_003,18505,but, But, Because,False,0.10103562,0.21960402,1,0.352649
case_004,394,lets, Let's, Max,False,0.08290666,0.10004532,2,0.175513
case_004,7584,but,But,We,False,0.03164284,0.08180434,5,0.233811
case_004,8773,lets, Let's, Though,False,0.17741063,0.25686088,1,0.258131
case_004,9841,wait, Wait, Actually,True,0.20001613,0.26715052,1,0.479814
case_004,11001,but, But, Wait,True,0.01605265,0.03698405,3,0.469127
case_004,12800,lets, Let's, We,False,0.1304851,0.24629429,3,0.354695
case_004,16105,but, But, So,False,0.22056952,0.21907404,1,0.59957
case_004,16112,lets, Let's, But,True,0.11052983,0.37410989,1,0.720745
case_004,18217,but, But, Contr,False,0.16673338,0.09092151,1,0.242596
case_004,19893,lets, Let's, So,False,0.00714611,0.01895446,6,0.643272
case_004,25780,wait, Wait, So,False,0.01196651,0.02034444,2,0.950618
case_004,25880,wait, Wait, compute,False,0.06835374,0.15271708,3,0.347129
case_004,30254,actually, Actually, But,True,0.08961081,0.11989051,2,0.276021
case_004,31905,actually, Actually, But,True,0.20696716,0.18272559,1,0.637504
case_005,2658,but,But,We,False,0.02995921,0.03325529,3,0.681868
case_006,34,lets, let's, a,False,2.18e-06,2.21e-06,429,0.642318
case_006,793,wait, Wait, So,False,0.02218525,0.0279357,4,0.734675
case_006,997,but, but, in,False,0.09356628,0.11078074,3,0.306792
case_006,3097,actually, Actually, The,False,0.00164776,0.03234159,25,0.202739
case_006,5663,actually, Actually, ,False,0.05467279,0.10716209,3,0.666051
case_006,10078,actually, Actually, So,False,0.01259204,0.02388529,9,0.345698
case_006,10192,but, but, =,False,0.0239842,0.02532263,5,0.545878
case_006,11038,wait, Wait, Actually,True,0.14339371,0.26204386,3,0.303564
case_007,303,wait, Wait, Actually,True,0.19877808,0.25079286,1,0.540335
case_007,1321,but, But, compute,False,0.00364804,0.0040233,17,0.349565
case_009,804,lets, Let's, So,False,0.0546137,0.05224447,1,0.665331
case_010,165,wait, Wait, Actually,True,0.16599095,0.34997657,1,0.74392
case_011,778,lets, Let's, But,True,0.22940087,0.29046243,2,0.333776
case_011,1299,lets, Let's, So,False,0.01059585,0.01002362,2,0.953808
case_011,3611,wait, Wait, Let's,True,0.23132837,0.50580347,1,0.381396
case_011,6752,but, but,?,False,0.0674516,0.08986944,4,0.302297
case_011,7251,but, but,.,False,0.04014683,0.09628101,4,0.489089
case_011,7707,wait,Wait,But,True,0.03981092,0.06541764,3,0.484996
case_011,9978,actually, Actually, Wait,True,0.09142695,0.10468376,1,0.675559
case_011,10231,lets,Let's,But,True,0.0776807,0.12491876,2,0.506542
case_011,10372,but, But, So,False,0.06721941,0.12467543,1,0.8189
case_011,11231,lets, Let's, Actually,True,0.06866153,0.08302046,3,0.447729
case_011,12643,but, But, ,False,0.11914517,0.19562334,1,0.685633
case_011,14156,but, but, Actually,True,0.00945687,0.01023296,11,0.377753
case_011,16635,wait, Wait, ,False,0.0171623,0.05907046,5,0.568337
case_011,18142,actually, Actually, But,True,0.14641258,0.12675822,1,0.51103
case_011,18592,lets, Let's, But,True,0.15437013,0.14023574,1,0.475493
case_011,18767,but,But,Let's,True,0.34160531,0.49521095,1,0.497033
case_011,18989,actually, Actually, Wait,True,0.17766847,0.47985992,1,0.796255
case_011,19473,actually, Actually, Wait,True,0.14836165,0.23859434,2,0.456986
case_011,21714,but, but, so,False,0.01594332,0.01527371,2,0.677927
case_011,21771,but,But,If,False,0.06897362,0.09388306,2,0.577509
case_011,23093,but, But, Center,False,0.07623779,0.08503345,1,0.497133
case_011,23305,but, But, Let's,True,0.03627278,0.11240109,3,0.825565
case_011,23559,but, But, So,False,0.06315013,0.25277627,1,0.769326
case_011,24068,but, But, So,False,0.11941274,0.08611737,2,0.606428
case_011,25487,but, But, So,False,0.18353368,0.28794131,2,0.342886
case_011,25697,but, but,.,False,0.02209909,0.04978297,2,0.64583
case_011,26125,lets,Let's,Maybe,False,0.03673686,0.10356583,4,0.394958
case_014,794,but, But, That,False,0.27323791,0.31515563,1,0.450493
case_014,1113,but, But, So,False,0.1541408,0.22307977,2,0.326316
case_014,2039,actually, Actually, Because,False,0.24128287,0.40200293,1,0.450776
case_014,2188,hmm, Hmm, So,False,0.00172478,0.00209074,16,0.509076
