case,tag,arm,completion_tokens,wait,hmm,lets,actually,but,total
case_001,cactus0p25,cactus (α=0.25),3829,19,0,16,9,27,71
case_001,mentoredDec0p37,mentored_dec (α=0.37),2067,2,0,8,3,2,15
case_001,rFuzzy0p3,r_fuzzy (α=0.3),16370,178,3,98,106,139,524
case_001,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),3301,14,1,7,10,12,44
case_001,specCascOpt0p05,spec_casc_opt (α=0.05),8070,47,0,43,28,86,204
case_001,specCascTok0p3,spec_casc_tok (α=0.3),2005,3,0,5,1,6,15
case_001,strict,strict,1711,3,0,2,0,1,6
case_002,cactus0p25,cactus (α=0.25),32768,250,9,196,226,346,1027
case_002,mentoredDec0p37,mentored_dec (α=0.37),30452,132,8,157,82,180,559
case_002,rFuzzy0p3,r_fuzzy (α=0.3),32768,285,7,178,287,363,1120
case_002,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32768,293,5,115,184,226,823
case_002,specCascOpt0p05,spec_casc_opt (α=0.05),32768,432,7,215,270,222,1146
case_002,specCascTok0p3,spec_casc_tok (α=0.3),32768,110,1,171,74,129,485
case_002,strict,strict,32768,137,4,199,96,144,580
case_003,cactus0p25,cactus (α=0.25),32768,96,2,172,102,391,763
case_003,mentoredDec0p37,mentored_dec (α=0.37),23657,69,0,95,43,190,397
case_003,rFuzzy0p3,r_fuzzy (α=0.3),32768,146,5,174,146,463,934
case_003,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),16785,92,4,49,47,112,304
case_003,specCascOpt0p05,spec_casc_opt (α=0.05),32768,176,4,204,131,324,839
case_003,specCascTok0p3,spec_casc_tok (α=0.3),22175,66,1,121,18,203,409
case_003,strict,strict,28934,116,0,165,46,205,532
case_004,cactus0p25,cactus (α=0.25),18243,76,3,124,66,185,454
case_004,mentoredDec0p37,mentored_dec (α=0.37),15604,35,0,67,36,86,224
case_004,rFuzzy0p3,r_fuzzy (α=0.3),16823,96,2,104,73,138,413
case_004,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),19743,119,0,87,84,111,401
case_004,specCascOpt0p05,spec_casc_opt (α=0.05),32768,217,3,140,119,225,704
case_004,specCascTok0p3,spec_casc_tok (α=0.3),32768,64,2,188,44,85,383
case_004,strict,strict,10406,23,1,41,14,46,125
case_005,cactus0p25,cactus (α=0.25),32768,281,5,282,263,213,1044
case_005,mentoredDec0p37,mentored_dec (α=0.37),5039,11,0,13,7,20,51
case_005,rFuzzy0p3,r_fuzzy (α=0.3),32768,281,6,291,284,323,1185
case_005,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),23223,265,4,103,121,133,626
case_005,specCascOpt0p05,spec_casc_opt (α=0.05),32768,419,5,189,275,207,1095
case_005,specCascTok0p3,spec_casc_tok (α=0.3),7038,11,1,28,11,26,77
case_005,strict,strict,5394,16,0,15,4,20,55
case_006,cactus0p25,cactus (α=0.25),32768,293,7,261,201,279,1041
case_006,mentoredDec0p37,mentored_dec (α=0.37),14667,48,1,81,15,33,178
case_006,rFuzzy0p3,r_fuzzy (α=0.3),32768,315,2,220,215,202,954
case_006,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32768,285,2,127,206,183,803
case_006,specCascOpt0p05,spec_casc_opt (α=0.05),32768,334,2,163,130,139,768
case_006,specCascTok0p3,spec_casc_tok (α=0.3),11967,25,1,63,12,43,144
case_006,strict,strict,10613,28,2,59,16,37,142
case_007,cactus0p25,cactus (α=0.25),6982,43,1,52,18,35,149
case_007,mentoredDec0p37,mentored_dec (α=0.37),24738,90,0,148,60,109,407
case_007,rFuzzy0p3,r_fuzzy (α=0.3),17038,132,3,119,88,102,444
case_007,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),13821,92,2,74,77,69,314
case_007,specCascOpt0p05,spec_casc_opt (α=0.05),32768,241,2,229,156,191,819
case_007,specCascTok0p3,spec_casc_tok (α=0.3),4428,5,0,13,2,20,40
case_007,strict,strict,6048,13,0,27,14,41,95
case_008,cactus0p25,cactus (α=0.25),5163,23,0,48,15,21,107
case_008,mentoredDec0p37,mentored_dec (α=0.37),3440,8,1,14,2,15,40
case_008,rFuzzy0p3,r_fuzzy (α=0.3),10527,88,2,120,54,101,365
case_008,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),5595,33,0,37,21,27,118
case_008,specCascOpt0p05,spec_casc_opt (α=0.05),32768,296,5,222,185,212,920
case_008,specCascTok0p3,spec_casc_tok (α=0.3),2824,3,0,20,2,13,38
case_008,strict,strict,1976,3,0,7,2,3,15
case_009,cactus0p25,cactus (α=0.25),6738,37,0,40,14,37,128
case_009,mentoredDec0p37,mentored_dec (α=0.37),3179,6,1,15,3,5,30
case_009,rFuzzy0p3,r_fuzzy (α=0.3),18154,182,2,130,115,145,574
case_009,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),25668,304,1,112,143,119,679
case_009,specCascOpt0p05,spec_casc_opt (α=0.05),12122,85,0,69,22,43,219
case_009,specCascTok0p3,spec_casc_tok (α=0.3),2275,3,0,9,1,7,20
case_009,strict,strict,2916,6,0,11,1,8,26
case_010,cactus0p25,cactus (α=0.25),2297,4,2,7,6,15,34
case_010,mentoredDec0p37,mentored_dec (α=0.37),1657,4,0,0,4,1,9
case_010,rFuzzy0p3,r_fuzzy (α=0.3),2956,19,1,15,9,16,60
case_010,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),3228,29,0,13,8,13,63
