case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_002,specCascTok0p5,spec_casc_tok (α=0.5),32639,986,523,22,117,1,126,92,187,4,0,5,6,7
case_002,specCascTokSemanticGuardFutureGuard0p5k8,spec_casc_tok_semantic_guard_future_guard (α=0.5),32554,1033,670,39,129,6,209,92,234,1,0,8,14,16
case_003,specCascTok0p5,spec_casc_tok (α=0.5),32680,1129,605,27,115,0,213,47,230,6,0,7,4,10
case_003,specCascTokSemanticGuardFutureGuard0p5k8,spec_casc_tok_semantic_guard_future_guard (α=0.5),16466,591,270,17,49,0,98,22,101,1,0,8,0,8
case_005,specCascTok0p5,spec_casc_tok (α=0.5),7609,290,121,9,18,0,47,8,48,2,0,5,0,2
case_005,specCascTokSemanticGuardFutureGuard0p5k8,spec_casc_tok_semantic_guard_future_guard (α=0.5),4821,145,48,1,7,0,17,4,20,1,0,0,0,0
case_011,specCascTok0p5,spec_casc_tok (α=0.5),5408,156,59,0,12,0,15,5,27,0,0,0,0,0
case_011,specCascTokSemanticGuardFutureGuard0p5k8,spec_casc_tok_semantic_guard_future_guard (α=0.5),5323,149,90,3,13,0,26,7,44,0,0,1,1,1
case_015,specCascTok0p5,spec_casc_tok (α=0.5),4739,136,48,3,13,0,6,10,19,0,0,0,1,2
case_015,specCascTokSemanticGuardFutureGuard0p5k8,spec_casc_tok_semantic_guard_future_guard (α=0.5),5386,112,52,1,10,0,7,6,29,0,0,1,0,0
case_020,specCascTok0p5,spec_casc_tok (α=0.5),3299,106,25,1,4,0,7,3,11,0,0,1,0,0
case_020,specCascTokSemanticGuardFutureGuard0p5k8,spec_casc_tok_semantic_guard_future_guard (α=0.5),3066,85,25,1,4,0,8,4,9,0,0,0,0,1
case_021,specCascTok0p5,spec_casc_tok (α=0.5),11217,418,167,12,24,0,40,6,97,2,0,1,0,9
case_021,specCascTokSemanticGuardFutureGuard0p5k8,spec_casc_tok_semantic_guard_future_guard (α=0.5),11317,424,205,18,31,0,53,6,115,4,0,5,0,9
case_028,specCascTok0p5,spec_casc_tok (α=0.5),15512,429,184,6,33,0,48,14,89,0,0,1,2,3
case_028,specCascTokSemanticGuardFutureGuard0p5k8,spec_casc_tok_semantic_guard_future_guard (α=0.5),9329,294,105,8,16,0,29,9,51,2,0,4,0,2
