case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_002,specCascTok0p3,spec_casc_tok (α=0.3),32665,743,485,23,110,1,171,74,129,4,0,5,11,3
case_002,specCascTokSemanticGuardFutureGuardAnd0p3k8,spec_casc_tok_semantic_guard_future_guard_and (α=0.3),23770,475,298,10,67,1,105,47,78,2,0,5,2,1
case_003,specCascTok0p3,spec_casc_tok (α=0.3),22124,699,409,16,66,1,121,18,203,3,0,5,1,7
case_003,specCascTokSemanticGuardFutureGuardAnd0p3k8,spec_casc_tok_semantic_guard_future_guard_and (α=0.3),32616,916,616,11,112,0,225,38,241,2,0,2,2,5
case_005,specCascTok0p3,spec_casc_tok (α=0.3),6888,194,77,2,11,1,28,11,26,0,0,1,0,1
case_005,specCascTokSemanticGuardFutureGuardAnd0p3k8,spec_casc_tok_semantic_guard_future_guard_and (α=0.3),6308,137,79,3,15,0,31,3,30,1,0,1,0,1
case_011,specCascTok0p3,spec_casc_tok (α=0.3),27605,770,610,22,102,1,121,48,338,3,0,4,4,11
case_011,specCascTokSemanticGuardFutureGuardAnd0p3k8,spec_casc_tok_semantic_guard_future_guard_and (α=0.3),4427,118,55,2,3,0,19,2,31,0,0,0,0,2
case_015,specCascTok0p3,spec_casc_tok (α=0.3),6809,143,74,1,17,0,17,8,32,0,0,0,0,1
case_015,specCascTokSemanticGuardFutureGuardAnd0p3k8,spec_casc_tok_semantic_guard_future_guard_and (α=0.3),9101,187,93,8,17,0,22,16,38,2,0,1,1,4
case_020,specCascTok0p3,spec_casc_tok (α=0.3),3429,79,26,0,7,0,7,4,8,0,0,0,0,0
case_020,specCascTokSemanticGuardFutureGuardAnd0p3k8,spec_casc_tok_semantic_guard_future_guard_and (α=0.3),2776,66,19,0,4,0,4,5,6,0,0,0,0,0
case_021,specCascTok0p3,spec_casc_tok (α=0.3),5057,147,68,0,5,0,19,7,37,0,0,0,0,0
case_021,specCascTokSemanticGuardFutureGuardAnd0p3k8,spec_casc_tok_semantic_guard_future_guard_and (α=0.3),10964,313,181,11,27,0,60,11,83,0,0,5,1,5
case_028,specCascTok0p3,spec_casc_tok (α=0.3),13543,303,142,3,32,0,57,9,44,0,0,1,0,2
case_028,specCascTokSemanticGuardFutureGuardAnd0p3k8,spec_casc_tok_semantic_guard_future_guard_and (α=0.3),7038,142,55,2,9,0,23,3,20,0,0,1,0,1
