case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_001,cactus0p25,cactus (α=0.25),3841,608,71,19,19,0,16,9,27,5,0,7,2,5
case_001,mentoredDec0p37,mentored_dec (α=0.37),2068,80,15,1,2,0,8,3,2,0,0,0,0,1
case_001,rFuzzy0p3,r_fuzzy (α=0.3),16362,2926,524,114,178,3,98,106,139,23,3,25,27,36
case_001,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),3302,448,44,0,14,1,7,10,12,0,0,0,0,0
case_001,specCascOpt0p05,spec_casc_opt (α=0.05),8070,765,204,18,47,0,43,28,86,3,0,6,3,6
case_001,specCascTok0p3,spec_casc_tok (α=0.3),2006,44,15,0,3,0,5,1,6,0,0,0,0,0
case_001,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),1659,38,9,0,3,0,4,1,1,0,0,0,0,0
case_001,strict,strict,1712,0,6,0,3,0,2,0,1,0,0,0,0,0
case_002,cactus0p25,cactus (α=0.25),32738,7261,1027,256,250,9,196,226,346,36,6,67,64,83
case_002,mentoredDec0p37,mentored_dec (α=0.37),30342,1645,559,61,132,8,157,82,180,6,2,17,15,21
case_002,rFuzzy0p3,r_fuzzy (α=0.3),32726,6382,1121,290,285,7,179,287,363,27,1,74,85,103
case_002,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32707,6582,824,0,293,5,116,184,226,0,0,0,0,0
case_002,specCascOpt0p05,spec_casc_opt (α=0.05),32526,4164,1146,148,432,7,215,270,222,15,1,20,69,43
case_002,specCascTok0p3,spec_casc_tok (α=0.3),32665,743,485,23,110,1,171,74,129,4,0,5,11,3
case_002,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),9691,270,116,0,32,0,31,21,32,0,0,0,0,0
case_002,strict,strict,32676,0,580,0,137,4,199,96,144,0,0,0,0,0
case_003,cactus0p25,cactus (α=0.25),32745,9158,763,183,96,2,172,102,391,17,0,43,20,103
case_003,mentoredDec0p37,mentored_dec (α=0.37),23635,1514,397,51,69,0,95,43,190,4,0,16,9,22
case_003,rFuzzy0p3,r_fuzzy (α=0.3),32707,8419,934,266,146,5,174,146,463,31,2,52,32,149
case_003,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),16733,3822,304,0,92,4,49,47,112,0,0,0,0,0
case_003,specCascOpt0p05,spec_casc_opt (α=0.05),32745,4901,839,119,176,4,204,131,324,13,1,28,17,60
case_003,specCascTok0p3,spec_casc_tok (α=0.3),22124,699,409,16,66,1,121,18,203,3,0,5,1,7
case_003,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),32700,827,572,0,109,0,157,55,251,0,0,0,0,0
case_003,strict,strict,28721,0,532,0,116,0,165,46,205,0,0,0,0,0
case_004,cactus0p25,cactus (α=0.25),18204,3493,454,119,76,3,124,66,185,14,2,40,20,43
case_004,mentoredDec0p37,mentored_dec (α=0.37),15571,823,224,25,35,0,67,36,86,1,0,10,4,10
