case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_002,specCascTok0p3,spec_casc_tok (α=0.3),32665,743,485,23,110,1,171,74,129,4,0,5,11,3
case_002,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),20836,519,325,0,87,6,82,56,94,0,0,0,0,0
case_003,specCascTok0p3,spec_casc_tok (α=0.3),22124,699,409,16,66,1,121,18,203,3,0,5,1,7
case_003,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),23154,668,373,0,58,0,129,38,148,0,0,0,0,0
case_005,specCascTok0p3,spec_casc_tok (α=0.3),6888,194,77,2,11,1,28,11,26,0,0,1,0,1
case_005,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),6662,169,86,0,15,0,26,6,39,0,0,0,0,0
case_011,specCascTok0p3,spec_casc_tok (α=0.3),27605,770,610,22,102,1,121,48,338,3,0,4,4,11
case_011,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),32705,621,401,0,75,5,149,39,133,0,0,0,0,0
case_015,specCascTok0p3,spec_casc_tok (α=0.3),6809,143,74,1,17,0,17,8,32,0,0,0,0,1
case_015,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),7398,171,93,0,18,0,17,15,43,0,0,0,0,0
case_020,specCascTok0p3,spec_casc_tok (α=0.3),3429,79,26,0,7,0,7,4,8,0,0,0,0,0
case_020,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),3269,67,23,0,6,0,3,7,7,0,0,0,0,0
case_021,specCascTok0p3,spec_casc_tok (α=0.3),5057,147,68,0,5,0,19,7,37,0,0,0,0,0
case_021,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),8166,227,131,0,15,0,39,5,72,0,0,0,0,0
case_028,specCascTok0p3,spec_casc_tok (α=0.3),13543,303,142,3,32,0,57,9,44,0,0,1,0,2
case_028,specCascTokSemanticGuardV20p3,spec_casc_tok_semantic_guard_v2 (α=0.3),6326,152,57,0,11,0,15,3,28,0,0,0,0,0
