case,tag,arm,completion_tokens,wait,hmm,lets,actually,but,total
case_001,cactus0p25,cactus (α=0.25),899,1,0,2,1,4,8
case_001,mentoredDec0p37,mentored_dec (α=0.37),971,1,0,1,0,2,4
case_001,rFuzzy0p3,r_fuzzy (α=0.3),1973,7,1,3,3,21,35
case_001,specCascOpt0p05,spec_casc_opt (α=0.05),654,0,0,0,0,1,1
case_001,specCascTok0p3,spec_casc_tok (α=0.3),327,0,0,1,0,1,2
case_001,strict,strict,813,0,0,1,0,7,8
case_002,cactus0p25,cactus (α=0.25),3857,7,0,20,15,48,90
case_002,mentoredDec0p37,mentored_dec (α=0.37),1353,4,0,15,5,14,38
case_002,rFuzzy0p3,r_fuzzy (α=0.3),2351,3,0,5,9,28,45
case_002,specCascOpt0p05,spec_casc_opt (α=0.05),2365,11,1,19,13,16,60
case_002,specCascTok0p3,spec_casc_tok (α=0.3),672,0,0,2,0,3,5
case_002,strict,strict,1899,8,0,23,7,6,44
case_003,cactus0p25,cactus (α=0.25),774,0,0,0,0,12,12
case_003,mentoredDec0p37,mentored_dec (α=0.37),672,0,0,1,0,8,9
case_003,rFuzzy0p3,r_fuzzy (α=0.3),1719,2,0,6,4,33,45
case_003,specCascOpt0p05,spec_casc_opt (α=0.05),631,0,0,0,1,8,9
case_003,specCascTok0p3,spec_casc_tok (α=0.3),464,0,0,2,0,9,11
case_003,strict,strict,334,0,0,0,0,3,3
case_004,cactus0p25,cactus (α=0.25),470,0,0,3,0,3,6
case_004,mentoredDec0p37,mentored_dec (α=0.37),387,1,0,0,0,1,2
case_004,rFuzzy0p3,r_fuzzy (α=0.3),342,0,0,1,0,0,1
case_004,specCascOpt0p05,spec_casc_opt (α=0.05),311,0,0,2,0,0,2
case_004,specCascTok0p3,spec_casc_tok (α=0.3),254,0,0,1,0,0,1
case_004,strict,strict,451,1,0,1,0,0,2
case_005,cactus0p25,cactus (α=0.25),645,0,0,1,0,4,5
case_005,mentoredDec0p37,mentored_dec (α=0.37),490,0,0,2,0,0,2
case_005,rFuzzy0p3,r_fuzzy (α=0.3),644,0,0,1,2,3,6
case_005,specCascOpt0p05,spec_casc_opt (α=0.05),468,0,0,1,0,1,2
case_005,specCascTok0p3,spec_casc_tok (α=0.3),404,0,0,1,0,3,4
case_005,strict,strict,456,0,0,1,0,1,2
case_006,cactus0p25,cactus (α=0.25),617,0,0,1,2,3,6
case_006,mentoredDec0p37,mentored_dec (α=0.37),348,0,0,1,0,0,1
case_006,rFuzzy0p3,r_fuzzy (α=0.3),916,1,0,2,1,5,9
case_006,specCascOpt0p05,spec_casc_opt (α=0.05),552,0,0,1,1,1,3
case_006,specCascTok0p3,spec_casc_tok (α=0.3),360,0,0,2,0,0,2
case_006,strict,strict,461,0,1,0,0,2,3
case_007,cactus0p25,cactus (α=0.25),1054,1,1,4,0,6,12
case_007,mentoredDec0p37,mentored_dec (α=0.37),628,0,0,1,0,4,5
case_007,rFuzzy0p3,r_fuzzy (α=0.3),552,0,0,3,1,2,6
case_007,specCascOpt0p05,spec_casc_opt (α=0.05),857,1,0,2,0,2,5
case_007,specCascTok0p3,spec_casc_tok (α=0.3),503,0,0,1,0,2,3
case_007,strict,strict,721,0,0,2,0,1,3
case_008,cactus0p25,cactus (α=0.25),500,0,0,0,0,1,1
case_008,mentoredDec0p37,mentored_dec (α=0.37),420,0,0,0,0,2,2
case_008,rFuzzy0p3,r_fuzzy (α=0.3),535,1,0,1,2,3,7
case_008,specCascOpt0p05,spec_casc_opt (α=0.05),331,0,0,0,0,1,1
case_008,specCascTok0p3,spec_casc_tok (α=0.3),541,0,0,1,0,1,2
case_008,strict,strict,406,0,0,1,0,2,3
case_009,cactus0p25,cactus (α=0.25),420,0,0,1,0,1,2
case_009,mentoredDec0p37,mentored_dec (α=0.37),308,0,0,0,0,3,3
case_009,rFuzzy0p3,r_fuzzy (α=0.3),441,0,0,4,2,4,10
case_009,specCascOpt0p05,spec_casc_opt (α=0.05),380,0,0,2,0,1,3
case_009,specCascTok0p3,spec_casc_tok (α=0.3),251,0,0,0,0,0,0
case_009,strict,strict,350,0,0,1,0,1,2
case_010,cactus0p25,cactus (α=0.25),762,0,0,3,1,4,8
case_010,mentoredDec0p37,mentored_dec (α=0.37),410,0,0,1,0,2,3
case_010,rFuzzy0p3,r_fuzzy (α=0.3),517,1,0,2,0,0,3
case_010,specCascOpt0p05,spec_casc_opt (α=0.05),580,0,0,2,0,1,3
case_010,specCascTok0p3,spec_casc_tok (α=0.3),267,0,0,1,0,0,1
case_010,strict,strict,481,0,0,3,0,2,5
case_011,cactus0p25,cactus (α=0.25),919,1,0,4,1,2,8
case_011,mentoredDec0p37,mentored_dec (α=0.37),1284,2,0,4,1,5,12
case_011,rFuzzy0p3,r_fuzzy (α=0.3),3699,24,0,20,14,24,82
case_011,specCascOpt0p05,spec_casc_opt (α=0.05),9000,47,4,64,35,64,214
case_011,specCascTok0p3,spec_casc_tok (α=0.3),839,0,0,6,1,6,13
case_011,strict,strict,1252,4,0,5,3,11,23
case_012,cactus0p25,cactus (α=0.25),558,0,0,2,0,2,4
case_012,mentoredDec0p37,mentored_dec (α=0.37),496,0,0,2,0,0,2
