case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_001,cactus0p25,cactus (α=0.25),907,126,8,3,1,0,2,1,4,1,0,0,0,2
case_001,mentoredDec0p37,mentored_dec (α=0.37),974,38,4,0,1,0,1,0,2,0,0,0,0,0
case_001,rFuzzy0p3,r_fuzzy (α=0.3),1978,323,35,7,7,1,3,3,21,2,0,2,0,3
case_001,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),1471,225,21,0,5,0,5,3,8,0,0,0,0,0
case_001,specCascOpt0p05,spec_casc_opt (α=0.05),655,67,1,1,0,0,0,0,1,0,0,0,0,1
case_001,specCascTok0p3,spec_casc_tok (α=0.3),332,2,2,0,0,0,1,0,1,0,0,0,0,0
case_001,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),617,14,3,0,0,0,1,0,2,0,0,0,0,0
case_001,strict,strict,815,0,8,0,0,0,1,0,7,0,0,0,0,0
case_002,cactus0p25,cactus (α=0.25),3858,862,90,20,7,0,20,15,48,1,0,6,4,9
case_002,mentoredDec0p37,mentored_dec (α=0.37),1356,79,38,4,4,0,15,5,14,0,0,1,0,3
case_002,rFuzzy0p3,r_fuzzy (α=0.3),2360,423,45,12,3,0,5,9,28,0,0,1,1,10
case_002,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),3107,565,52,0,10,0,14,10,18,0,0,0,0,0
case_002,specCascOpt0p05,spec_casc_opt (α=0.05),2372,321,60,7,11,1,19,13,16,1,0,2,2,2
case_002,specCascTok0p3,spec_casc_tok (α=0.3),676,21,5,2,0,0,2,0,3,0,0,0,0,2
case_002,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),914,32,5,0,0,0,2,0,3,0,0,0,0,0
case_002,strict,strict,1904,0,44,0,8,0,23,7,6,0,0,0,0,0
case_003,cactus0p25,cactus (α=0.25),783,137,12,2,0,0,0,0,12,0,0,0,0,2
case_003,mentoredDec0p37,mentored_dec (α=0.37),679,43,9,1,0,0,1,0,8,0,0,0,0,1
case_003,rFuzzy0p3,r_fuzzy (α=0.3),1724,299,45,10,2,0,6,4,33,0,0,1,1,8
case_003,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),618,91,4,0,0,0,0,0,4,0,0,0,0,0
case_003,specCascOpt0p05,spec_casc_opt (α=0.05),631,66,9,3,0,0,0,1,8,0,0,0,0,3
case_003,specCascTok0p3,spec_casc_tok (α=0.3),466,10,11,1,0,0,2,0,9,0,0,1,0,0
case_003,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),463,10,10,0,0,0,1,0,9,0,0,0,0,0
case_003,strict,strict,336,0,3,0,0,0,0,0,3,0,0,0,0,0
case_004,cactus0p25,cactus (α=0.25),479,90,6,0,0,0,3,0,3,0,0,0,0,0
case_004,mentoredDec0p37,mentored_dec (α=0.37),390,15,2,0,1,0,0,0,1,0,0,0,0,0
case_004,rFuzzy0p3,r_fuzzy (α=0.3),349,49,1,0,0,0,1,0,0,0,0,0,0,0
case_004,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),349,49,1,0,0,0,1,0,0,0,0,0,0,0
case_004,specCascOpt0p05,spec_casc_opt (α=0.05),315,31,2,1,0,0,2,0,0,0,0,1,0,0
case_004,specCascTok0p3,spec_casc_tok (α=0.3),256,9,1,0,0,0,1,0,0,0,0,0,0,0
case_004,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),256,9,1,0,0,0,1,0,0,0,0,0,0,0
case_004,strict,strict,454,0,2,0,1,0,1,0,0,0,0,0,0,0
case_005,cactus0p25,cactus (α=0.25),650,96,5,2,0,0,1,0,4,0,0,1,0,1
case_005,mentoredDec0p37,mentored_dec (α=0.37),491,23,2,0,0,0,2,0,0,0,0,0,0,0
case_005,rFuzzy0p3,r_fuzzy (α=0.3),651,114,6,2,0,0,1,2,3,0,0,0,1,1
case_005,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),526,74,3,0,0,0,1,0,2,0,0,0,0,0
case_005,specCascOpt0p05,spec_casc_opt (α=0.05),471,45,2,0,0,0,1,0,1,0,0,0,0,0
case_005,specCascTok0p3,spec_casc_tok (α=0.3),405,4,4,0,0,0,1,0,3,0,0,0,0,0
case_005,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),405,4,4,0,0,0,1,0,3,0,0,0,0,0
case_005,strict,strict,458,0,2,0,0,0,1,0,1,0,0,0,0,0
case_006,cactus0p25,cactus (α=0.25),627,89,6,4,0,0,1,2,3,0,0,1,2,1
case_006,mentoredDec0p37,mentored_dec (α=0.37),352,10,1,0,0,0,1,0,0,0,0,0,0,0
case_006,rFuzzy0p3,r_fuzzy (α=0.3),918,129,9,1,1,0,2,1,5,0,0,0,0,1
case_006,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),1011,158,4,0,1,0,1,1,1,0,0,0,0,0
case_006,specCascOpt0p05,spec_casc_opt (α=0.05),553,48,3,1,0,0,1,1,1,0,0,0,0,1
case_006,specCascTok0p3,spec_casc_tok (α=0.3),362,7,2,0,0,0,2,0,0,0,0,0,0,0
case_006,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),362,7,2,0,0,0,2,0,0,0,0,0,0,0
case_006,strict,strict,462,0,3,0,0,1,0,0,2,0,0,0,0,0
case_007,cactus0p25,cactus (α=0.25),1063,212,12,5,1,1,4,0,6,1,0,1,0,3
case_007,mentoredDec0p37,mentored_dec (α=0.37),633,25,5,0,0,0,1,0,4,0,0,0,0,0
case_007,rFuzzy0p3,r_fuzzy (α=0.3),557,92,6,3,0,0,3,1,2,0,0,2,1,0
case_007,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),834,94,5,0,0,0,2,0,3,0,0,0,0,0
case_007,specCascOpt0p05,spec_casc_opt (α=0.05),860,97,5,0,1,0,2,0,2,0,0,0,0,0
case_007,specCascTok0p3,spec_casc_tok (α=0.3),507,8,3,0,0,0,1,0,2,0,0,0,0,0
case_007,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),455,9,5,0,0,0,2,0,3,0,0,0,0,0
case_007,strict,strict,724,0,3,0,0,0,2,0,1,0,0,0,0,0
case_008,cactus0p25,cactus (α=0.25),509,75,1,1,0,0,0,0,1,0,0,0,0,1
case_008,mentoredDec0p37,mentored_dec (α=0.37),424,19,2,0,0,0,0,0,2,0,0,0,0,0
case_008,rFuzzy0p3,r_fuzzy (α=0.3),544,95,7,1,1,0,1,2,3,0,0,0,0,1
case_008,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),638,83,4,0,1,0,0,2,1,0,0,0,0,0
case_008,specCascOpt0p05,spec_casc_opt (α=0.05),333,28,1,0,0,0,0,0,1,0,0,0,0,0
case_008,specCascTok0p3,spec_casc_tok (α=0.3),547,8,2,0,0,0,1,0,1,0,0,0,0,0
case_008,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),547,8,2,0,0,0,1,0,1,0,0,0,0,0
