case,tag,arm,completion_tokens,wait,hmm,lets,actually,but,total
case_002,rFuzzy0p3,r_fuzzy (α=0.3),32768,285,7,178,287,363,1120
case_002,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32768,293,5,115,184,226,823
case_003,rFuzzy0p3,r_fuzzy (α=0.3),32768,146,5,174,146,463,934
case_003,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),16785,92,4,49,47,112,304
case_005,rFuzzy0p3,r_fuzzy (α=0.3),32768,281,6,291,284,323,1185
case_005,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),23223,265,4,103,121,133,626
case_011,rFuzzy0p3,r_fuzzy (α=0.3),27824,280,10,202,215,318,1025
case_011,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),5027,32,0,22,10,29,93
case_015,rFuzzy0p3,r_fuzzy (α=0.3),31476,196,9,174,189,401,969
case_015,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),14562,95,0,50,69,70,284
case_020,rFuzzy0p3,r_fuzzy (α=0.3),31809,211,3,290,195,361,1060
case_020,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),15481,148,0,76,59,63,346
case_021,rFuzzy0p3,r_fuzzy (α=0.3),32722,160,6,206,192,522,1086
case_021,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32768,181,2,212,150,363,908
case_028,rFuzzy0p3,r_fuzzy (α=0.3),32768,270,7,247,227,390,1141
case_028,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32768,327,5,168,211,146,857
