case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_002,rFuzzy0p3,r_fuzzy (α=0.3),32726,6382,1121,290,285,7,179,287,363,27,1,74,85,103
case_002,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32707,6582,824,0,293,5,116,184,226,0,0,0,0,0
case_003,rFuzzy0p3,r_fuzzy (α=0.3),32707,8419,934,266,146,5,174,146,463,31,2,52,32,149
case_003,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),16733,3822,304,0,92,4,49,47,112,0,0,0,0,0
case_005,rFuzzy0p3,r_fuzzy (α=0.3),32409,6254,1185,325,281,6,291,284,323,51,3,117,78,76
case_005,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),22966,4034,626,0,265,4,103,121,133,0,0,0,0,0
case_011,rFuzzy0p3,r_fuzzy (α=0.3),27814,5649,1025,269,280,10,202,215,318,29,6,76,54,104
case_011,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),5023,842,93,0,32,0,22,10,29,0,0,0,0,0
case_015,rFuzzy0p3,r_fuzzy (α=0.3),31460,6562,969,285,196,9,174,189,401,31,8,52,51,143
case_015,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),14556,2290,284,0,95,0,50,69,70,0,0,0,0,0
case_020,rFuzzy0p3,r_fuzzy (α=0.3),31734,6145,1060,305,211,3,290,195,361,32,3,113,47,110
case_020,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),15435,2373,346,0,148,0,76,59,63,0,0,0,0,0
case_021,rFuzzy0p3,r_fuzzy (α=0.3),32588,7627,1086,304,160,6,206,192,522,19,2,73,52,158
case_021,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32712,7006,908,0,181,2,212,150,363,0,0,0,0,0
case_028,rFuzzy0p3,r_fuzzy (α=0.3),32387,6836,1142,332,270,7,247,227,391,49,2,90,72,119
case_028,rFuzzySemanticGuard0p3,r_fuzzy_semantic_guard (α=0.3),32326,5645,857,0,327,5,168,211,146,0,0,0,0,0
