case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_002,specCascTok0p3,spec_casc_tok (α=0.3),32665,743,485,23,110,1,171,74,129,4,0,5,11,3
case_002,specCascTokSemanticGuardAnd0p3,spec_casc_tok_semantic_guard_and (α=0.3),20330,457,258,0,48,0,82,59,69,0,0,0,0,0
case_003,specCascTok0p3,spec_casc_tok (α=0.3),22124,699,409,16,66,1,121,18,203,3,0,5,1,7
case_003,specCascTokSemanticGuardAnd0p3,spec_casc_tok_semantic_guard_and (α=0.3),32711,944,673,0,93,3,236,53,288,0,0,0,0,0
case_005,specCascTok0p3,spec_casc_tok (α=0.3),6888,194,77,2,11,1,28,11,26,0,0,1,0,1
case_005,specCascTokSemanticGuardAnd0p3,spec_casc_tok_semantic_guard_and (α=0.3),6182,160,63,0,8,0,18,6,31,0,0,0,0,0
case_011,specCascTok0p3,spec_casc_tok (α=0.3),27605,770,610,22,102,1,121,48,338,3,0,4,4,11
case_011,specCascTokSemanticGuardAnd0p3,spec_casc_tok_semantic_guard_and (α=0.3),7393,205,120,0,15,0,21,10,74,0,0,0,0,0
case_015,specCascTok0p3,spec_casc_tok (α=0.3),6809,143,74,1,17,0,17,8,32,0,0,0,0,1
case_015,specCascTokSemanticGuardAnd0p3,spec_casc_tok_semantic_guard_and (α=0.3),3792,80,27,0,7,0,4,3,13,0,0,0,0,0
case_020,specCascTok0p3,spec_casc_tok (α=0.3),3429,79,26,0,7,0,7,4,8,0,0,0,0,0
case_020,specCascTokSemanticGuardAnd0p3,spec_casc_tok_semantic_guard_and (α=0.3),3503,86,31,0,7,0,6,5,13,0,0,0,0,0
case_021,specCascTok0p3,spec_casc_tok (α=0.3),5057,147,68,0,5,0,19,7,37,0,0,0,0,0
case_021,specCascTokSemanticGuardAnd0p3,spec_casc_tok_semantic_guard_and (α=0.3),9643,323,183,0,27,0,42,19,95,0,0,0,0,0
case_028,specCascTok0p3,spec_casc_tok (α=0.3),13543,303,142,3,32,0,57,9,44,0,0,1,0,2
case_028,specCascTokSemanticGuardAnd0p3,spec_casc_tok_semantic_guard_and (α=0.3),7235,160,64,0,13,1,23,2,25,0,0,0,0,0
