case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_002,specCascTok0p3,spec_casc_tok (α=0.3),32665,743,485,23,110,1,171,74,129,4,0,5,11,3
case_002,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),11476,261,159,8,40,0,61,15,43,3,0,2,0,3
case_003,specCascTok0p3,spec_casc_tok (α=0.3),22124,699,409,16,66,1,121,18,203,3,0,5,1,7
case_003,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),32729,851,656,14,121,0,214,68,253,2,0,7,1,4
case_005,specCascTok0p3,spec_casc_tok (α=0.3),6888,194,77,2,11,1,28,11,26,0,0,1,0,1
case_005,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),5992,154,68,5,17,0,24,2,25,2,0,0,0,3
case_011,specCascTok0p3,spec_casc_tok (α=0.3),27605,770,610,22,102,1,121,48,338,3,0,4,4,11
case_011,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),11856,363,217,9,34,1,45,18,119,2,0,2,1,4
case_015,specCascTok0p3,spec_casc_tok (α=0.3),6809,143,74,1,17,0,17,8,32,0,0,0,0,1
case_015,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),5299,122,48,4,7,0,10,6,25,0,0,1,0,3
case_020,specCascTok0p3,spec_casc_tok (α=0.3),3429,79,26,0,7,0,7,4,8,0,0,0,0,0
case_020,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),4761,107,58,0,12,0,15,10,21,0,0,0,0,0
case_021,specCascTok0p3,spec_casc_tok (α=0.3),5057,147,68,0,5,0,19,7,37,0,0,0,0,0
case_021,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),16973,492,235,6,36,0,74,16,109,0,0,1,0,5
case_028,specCascTok0p3,spec_casc_tok (α=0.3),13543,303,142,3,32,0,57,9,44,0,0,1,0,2
case_028,specCascTokSemanticGuardFutureGuard0p3k8,spec_casc_tok_semantic_guard_future_guard (α=0.3),5960,153,67,3,12,0,19,2,34,0,0,0,0,3
