case,tag,arm,total_tokens,relaxed_only_tokens,hesitation_total,hesitation_relaxed_only,wait_total,hmm_total,lets_total,actually_total,but_total,wait_relaxed_only,hmm_relaxed_only,lets_relaxed_only,actually_relaxed_only,but_relaxed_only
case_002,specCascTok0p3,spec_casc_tok (α=0.3),32665,743,485,23,110,1,171,74,129,4,0,5,11,3
case_002,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),9691,270,116,0,32,0,31,21,32,0,0,0,0,0
case_003,specCascTok0p3,spec_casc_tok (α=0.3),22124,699,409,16,66,1,121,18,203,3,0,5,1,7
case_003,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),32700,827,572,0,109,0,157,55,251,0,0,0,0,0
case_005,specCascTok0p3,spec_casc_tok (α=0.3),6888,194,77,2,11,1,28,11,26,0,0,1,0,1
case_005,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),5502,140,53,0,10,0,19,5,19,0,0,0,0,0
case_011,specCascTok0p3,spec_casc_tok (α=0.3),27605,770,610,22,102,1,121,48,338,3,0,4,4,11
case_011,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),15137,495,340,0,26,1,52,28,233,0,0,0,0,0
case_015,specCascTok0p3,spec_casc_tok (α=0.3),6809,143,74,1,17,0,17,8,32,0,0,0,0,1
case_015,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),5181,93,42,0,11,0,16,2,13,0,0,0,0,0
case_020,specCascTok0p3,spec_casc_tok (α=0.3),3429,79,26,0,7,0,7,4,8,0,0,0,0,0
case_020,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),4233,118,43,0,10,0,9,5,19,0,0,0,0,0
case_021,specCascTok0p3,spec_casc_tok (α=0.3),5057,147,68,0,5,0,19,7,37,0,0,0,0,0
case_021,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),8874,288,149,0,17,0,53,9,70,0,0,0,0,0
case_028,specCascTok0p3,spec_casc_tok (α=0.3),13543,303,142,3,32,0,57,9,44,0,0,1,0,2
case_028,specCascTokSemanticGuard0p3,spec_casc_tok_semantic_guard (α=0.3),4013,77,18,0,6,0,7,3,2,0,0,0,0,0
