dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
aime24,mentored_dec,0.35,30,2.641171227372565,10544.8,0.8
aime24,mentored_dec,0.75,30,3.3382415650391635,14772.766666666666,0.6333333333333333
aime24,mentored_dec,0.15,30,2.410031080507201,9380.866666666667,0.8
aime24,cactus,0.03,30,3.053454082172536,13162.266666666666,0.6333333333333333
aime24,cactus,0.08,30,3.5346910401803178,15474.3,0.5333333333333333
aime24,cactus,0.18,30,3.9281913391095773,15510.033333333333,0.6
aime24,spec_casc_opt,-0.3,30,2.7054377678066754,11580.766666666666,0.8
aime24,spec_casc_opt,0.05,30,3.382914845827477,21652.533333333333,0.36666666666666664
aime24,r_fuzzy,0.08,30,2.463405196974448,11390.5,0.7
aime24,r_fuzzy,0.25,30,3.679256096943079,18582.3,0.5
aime24,r_fuzzy,0.03,30,2.267329501064567,11459.2,0.7666666666666667
aime24,spec_casc_tok,0.8,30,2.6979429197373204,12936.933333333332,0.7
aime24,spec_casc_tok,0.15,30,2.383499809486646,8733.6,0.8333333333333334
aime24,strict,strict,30,2.1919579169662753,8717.266666666666,0.7666666666666667
