dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
aime24_qwen3,mentored_dec,0.75,30,1.3007892915692782,19369.266666666666,0.7333333333333333
aime24_qwen3,mentored_dec,0.15,30,1.184818229822537,17472.833333333332,0.7333333333333333
aime24_qwen3,cactus,0.03,30,1.6116682615441111,21952.933333333334,0.6
aime24_qwen3,cactus,0.08,30,2.214254675683829,20053.2,0.36666666666666664
aime24_qwen3,cactus,0.35,30,3.4626664327490166,24062.0,0.23333333333333334
aime24_qwen3,spec_casc_opt,0.05,30,1.8017478007172678,27132.466666666667,0.3
aime24_qwen3,spec_casc_opt,-0.3,30,1.2372887387336038,19651.966666666667,0.7
aime24_qwen3,r_fuzzy,0.25,30,1.3743250286022617,24710.266666666666,0.4
aime24_qwen3,r_fuzzy,0.03,30,1.12000265811583,19990.5,0.6666666666666666
aime24_qwen3,spec_casc_tok,0.8,30,1.2410358702905742,18814.666666666668,0.7
aime24_qwen3,spec_casc_tok,0.15,30,1.143044834765835,18448.233333333334,0.7333333333333333
aime24_qwen3,strict,strict,30,1.1035766962046005,19140.9,0.7
