dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
gsm8k,mentored_dec,0.15,50,2.892245064475172,279.2,0.98
gsm8k,mentored_dec,0.35,50,3.188076210847104,318.5,1.0
gsm8k,mentored_dec,0.75,50,3.74035523232413,328.3,0.98
gsm8k,cactus,0.03,50,3.3744799209303444,338.24,0.98
gsm8k,cactus,0.18,50,4.191738178545468,531.34,0.9
gsm8k,cactus,0.35,50,4.4099741672866495,488.94,0.94
gsm8k,spec_casc_opt,-0.3,50,3.1428665927749377,341.78,0.92
gsm8k,spec_casc_opt,-0.1,50,3.3904795204363705,352.62,0.98
gsm8k,spec_casc_opt,0.05,50,3.726589874290155,403.64,0.98
gsm8k,r_fuzzy,0.08,50,2.979151261783022,348.02,0.92
gsm8k,r_fuzzy,0.15,50,3.455318171042133,321.34,0.98
gsm8k,r_fuzzy,0.25,50,4.006539158545639,535.76,0.9
gsm8k,spec_casc_tok,0.15,50,2.773267178396226,254.48,1.0
gsm8k,spec_casc_tok,0.8,50,3.0692793566389502,264.82,1.0
gsm8k,strict,strict,50,2.539374501085038,272.72,0.98
