dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
gsm8k_qwen3,mentored_dec,0.15,12,1.5486536876438561,1426.0,0.6666666666666666
gsm8k_qwen3,mentored_dec,0.75,12,1.7145819247909622,1302.9166666666667,0.8333333333333334
gsm8k_qwen3,cactus,0.03,12,1.567840342704797,1345.8333333333333,0.75
gsm8k_qwen3,cactus,0.35,12,1.809122854644797,1287.3333333333333,0.75
gsm8k_qwen3,spec_casc_opt,-0.3,12,1.6169341511280682,1179.8333333333333,0.8333333333333334
gsm8k_qwen3,spec_casc_opt,-0.1,12,1.7195876077928895,1317.0,0.6666666666666666
gsm8k_qwen3,spec_casc_opt,0.05,12,2.1249105627288225,1679.1666666666667,0.5833333333333334
gsm8k_qwen3,r_fuzzy,0.08,12,1.6066384615684361,1381.8333333333333,0.75
gsm8k_qwen3,r_fuzzy,0.15,12,1.8139340021709078,1606.4166666666667,0.5
gsm8k_qwen3,r_fuzzy,0.25,12,2.040683480917512,1223.6666666666667,0.6666666666666666
gsm8k_qwen3,spec_casc_tok,0.55,12,1.529456996779319,1277.4166666666667,0.75
gsm8k_qwen3,spec_casc_tok,0.15,12,1.4875853425637127,1223.3333333333333,0.8333333333333334
gsm8k_qwen3,spec_casc_tok,0.8,12,1.5592834093601482,1292.0,0.8333333333333334
gsm8k_qwen3,strict,strict,12,1.5009066305212408,1189.8333333333333,0.8333333333333334
