dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
humaneval,mentored_dec,0.35,12,2.8765655204940637,578.5833333333334,1.0
humaneval,mentored_dec,0.75,12,3.593809235578577,692.0833333333334,1.0
humaneval,mentored_dec,0.15,12,2.6540397645228353,543.5,1.0
humaneval,cactus,0.03,12,3.312253421471024,1033.9166666666667,0.9166666666666666
humaneval,cactus,0.35,12,4.325431708569204,1122.9166666666667,0.8333333333333334
humaneval,spec_casc_opt,-0.3,12,2.9584403784429285,639.8333333333334,1.0
humaneval,spec_casc_opt,0.05,12,3.492967424149732,1391.75,0.9166666666666666
humaneval,r_fuzzy,0.08,12,2.8300071873565327,642.9166666666666,0.75
humaneval,r_fuzzy,0.25,12,3.7428464091603217,832.9166666666666,0.5
humaneval,r_fuzzy,0.03,12,2.4983577869005678,651.0,1.0
humaneval,spec_casc_tok,0.8,12,2.8698506714235754,605.4166666666666,1.0
humaneval,spec_casc_tok,0.15,12,2.6154048474199167,648.3333333333334,1.0
humaneval,strict,strict,12,2.5046209364342245,674.1666666666666,1.0
