dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
humaneval_qwen3,mentored_dec,0.75,50,1.5173874294400624,2972.64,0.9
humaneval_qwen3,mentored_dec,0.15,50,1.363181805991641,3003.52,0.92
humaneval_qwen3,cactus,0.18,50,1.5622199336108948,3210.6,0.84
humaneval_qwen3,cactus,0.35,50,1.6455120098810068,3317.9,0.84
humaneval_qwen3,cactus,0.03,50,1.4454744454480886,3242.42,0.86
humaneval_qwen3,spec_casc_opt,-0.02,50,1.5478734587126026,3383.8,0.9
humaneval_qwen3,spec_casc_opt,0.05,50,2.1177719863281665,5598.52,0.56
humaneval_qwen3,spec_casc_opt,-0.3,50,1.4075954388390186,2974.7,0.9
humaneval_qwen3,r_fuzzy,0.25,50,1.9555727650996304,5245.28,0.2
humaneval_qwen3,r_fuzzy,0.03,50,1.3804001975717985,3478.0,0.74
humaneval_qwen3,spec_casc_tok,0.8,50,1.4397473469908593,3262.14,0.88
humaneval_qwen3,spec_casc_tok,0.15,50,1.388380935111508,3034.76,0.88
humaneval_qwen3,strict,strict,50,1.3418508039401553,2929.5,0.86
