dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
livecodebench_qwen3,mentored_dec,0.75,12,1.3025860303625127,9362.583333333334,0.5833333333333334
livecodebench_qwen3,mentored_dec,0.15,12,1.1100606508971373,9299.916666666666,0.6666666666666666
livecodebench_qwen3,cactus,0.03,12,1.3222331182545521,9209.5,0.5
livecodebench_qwen3,cactus,0.18,12,1.8486142903340943,8783.333333333334,0.5
livecodebench_qwen3,cactus,0.35,12,2.480146719082174,10522.916666666666,0.25
livecodebench_qwen3,spec_casc_opt,0.05,12,1.438097454107074,11000.5,0.3333333333333333
livecodebench_qwen3,spec_casc_opt,-0.3,12,1.1912576213068526,9331.333333333334,0.5833333333333334
livecodebench_qwen3,r_fuzzy,0.15,12,1.3370936557690534,9635.333333333334,0.08333333333333333
livecodebench_qwen3,r_fuzzy,0.25,12,1.504827094954984,9359.666666666666,0.0
livecodebench_qwen3,r_fuzzy,0.03,12,1.0617406266125056,9764.833333333334,0.5
livecodebench_qwen3,spec_casc_tok,0.8,12,1.1998625258413027,8898.5,0.6666666666666666
livecodebench_qwen3,spec_casc_tok,0.15,12,1.119784363074236,8764.833333333334,0.6666666666666666
livecodebench_qwen3,strict,strict,12,1.0972490469450167,8580.916666666666,0.75
