dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
longbench_v2,mentored_dec,0.55,12,2.648235074199206,1533.25,0.75
longbench_v2,mentored_dec,0.75,12,3.1006374169745157,1860.25,0.6666666666666666
longbench_v2,mentored_dec,0.15,12,2.0599062816669824,1348.5833333333333,0.5833333333333334
longbench_v2,cactus,0.03,12,3.5069674997545452,2196.9166666666665,0.6666666666666666
longbench_v2,cactus,0.18,12,4.459998853748411,1862.1666666666667,0.5833333333333334
longbench_v2,cactus,0.35,12,4.891729533363027,2500.1666666666665,0.5
longbench_v2,spec_casc_opt,-0.1,12,2.52595167138009,1966.0,0.5833333333333334
longbench_v2,spec_casc_opt,0.05,12,2.8544917824162064,3105.25,0.5833333333333334
longbench_v2,spec_casc_opt,-0.3,12,2.3055760155484397,2136.25,0.5833333333333334
longbench_v2,r_fuzzy,0.15,12,2.539256823871177,2648.3333333333335,0.75
longbench_v2,r_fuzzy,0.25,12,3.409415890125409,3036.1666666666665,0.5
longbench_v2,r_fuzzy,0.03,12,1.8940907488986916,1295.3333333333333,0.75
longbench_v2,spec_casc_tok,0.8,12,2.324601244423874,1755.1666666666667,0.5
longbench_v2,spec_casc_tok,0.15,12,2.1284080768246283,1735.6666666666667,0.5833333333333334
longbench_v2,strict,strict,12,1.8065192543929245,1470.1666666666667,0.75
