dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
longbench_v2_qwen3,mentored_dec,0.15,50,0.7458035308426507,2856.74,0.46
longbench_v2_qwen3,mentored_dec,0.75,50,0.8608593204076053,3051.1,0.52
longbench_v2_qwen3,cactus,0.03,50,1.5517754901835854,3275.62,0.42
longbench_v2_qwen3,cactus,0.08,50,2.1091139443600877,3969.54,0.4
longbench_v2_qwen3,cactus,0.35,50,3.3886272186684177,6028.34,0.26
longbench_v2_qwen3,spec_casc_opt,0.05,50,1.5076162001577829,3449.82,0.36
longbench_v2_qwen3,spec_casc_opt,-0.3,50,0.9125050063729218,3331.28,0.46
longbench_v2_qwen3,r_fuzzy,0.25,50,0.9166734283436122,3186.5,0.44
longbench_v2_qwen3,r_fuzzy,0.03,50,0.7394451737242197,3093.72,0.42
longbench_v2_qwen3,spec_casc_tok,0.15,50,0.7455702351022915,2930.34,0.44
longbench_v2_qwen3,spec_casc_tok,0.8,50,0.7808338015673058,2856.62,0.46
longbench_v2_qwen3,strict,strict,50,0.7212456435031307,2825.08,0.42
