dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
mtbench,mentored_dec,0.15,30,2.534308468313728,1356.7333333333333,
mtbench,mentored_dec,0.55,30,3.2249630039253776,1330.9,
mtbench,mentored_dec,0.75,30,3.701764119476877,1542.9666666666667,
mtbench,cactus,0.03,30,3.6460376946954325,1390.0,
mtbench,cactus,0.18,30,4.362597570339819,1293.5,
mtbench,cactus,0.35,30,4.703284772856767,1479.4333333333334,
mtbench,spec_casc_opt,-0.3,30,2.889929746798414,1306.0333333333333,
mtbench,spec_casc_opt,0.05,30,3.4782009973353687,1407.1333333333334,
mtbench,r_fuzzy,0.08,30,2.6466302250683027,1422.0666666666666,
mtbench,r_fuzzy,0.15,30,3.1265621434595134,1359.0,
mtbench,r_fuzzy,0.25,30,3.937443698915674,1458.6666666666667,
mtbench,spec_casc_tok,0.8,30,2.6836754911682914,1359.4333333333334,
mtbench,spec_casc_tok,0.15,30,2.3557620078698753,1223.2666666666667,
mtbench,strict,strict,30,2.3879348984907636,1356.3333333333333,
