dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
mtbench_qwen3,mentored_dec,0.75,30,1.5899149121044391,2113.4333333333334,
mtbench_qwen3,mentored_dec,0.15,30,1.2972492909988345,2023.9666666666667,
mtbench_qwen3,cactus,0.03,30,1.7323451894690742,2026.0,
mtbench_qwen3,cactus,0.08,30,2.099249443847192,2286.4333333333334,
mtbench_qwen3,cactus,0.35,30,2.9979263966563385,2417.5333333333333,
mtbench_qwen3,spec_casc_opt,-0.02,30,1.675204362198996,2531.1,
mtbench_qwen3,spec_casc_opt,-0.3,30,1.4497769576194233,2150.133333333333,
mtbench_qwen3,spec_casc_opt,0.05,30,1.8904458556709114,2525.9,
mtbench_qwen3,r_fuzzy,0.15,30,1.5296731761207931,2289.8,
mtbench_qwen3,r_fuzzy,0.25,30,1.9379361871592204,2302.733333333333,
mtbench_qwen3,r_fuzzy,0.03,30,1.2826002576154758,2073.366666666667,
mtbench_qwen3,spec_casc_tok,0.8,30,1.4065208959033568,2124.8,
mtbench_qwen3,spec_casc_tok,0.15,30,1.2644148652223757,2049.9333333333334,
mtbench_qwen3,strict,strict,30,1.2351757595059776,2029.7,
