dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
aime24,cactus,alpha0.03,case_001,0,ok,3.663484486873508,4.663484486873508,1954,419.0,0.6105807478122514,stop,True,10.731724713928998
aime24,cactus,alpha0.03,case_002,0,ok,2.727024567788899,3.727024567788899,32768,8792.0,0.45450409463148317,length,False,204.5051497980021
aime24,cactus,alpha0.03,case_003,0,ok,2.830274693161894,3.830274693161894,32768,8555.0,0.4717124488603156,length,False,202.60077295498922
aime24,cactus,alpha0.03,case_004,0,ok,2.9582036460649177,3.9582036460649177,17803,4498.0,0.4930339410108196,stop,True,108.84164194110781
aime24,cactus,alpha0.03,case_005,0,ok,2.8613861386138613,3.8613861386138613,17550,4545.0,0.4768976897689769,stop,True,107.92532810289413
aime24,cactus,alpha0.03,case_006,0,ok,2.8824900909302866,3.8824900909302866,16651,4289.0,0.4804150151550478,stop,True,101.24625457217917
aime24,cactus,alpha0.03,case_007,0,ok,2.7530920751259735,3.7530920751259735,32768,8732.0,0.45884867918766226,length,False,205.64856487885118
aime24,cactus,alpha0.03,case_008,0,ok,3.127808988764045,4.127808988764045,2939,712.0,0.5213014981273408,stop,True,16.883367501199245
aime24,cactus,alpha0.03,case_009,0,ok,3.031847133757962,4.031847133757962,3798,942.0,0.505307855626327,stop,True,22.759761250112206
aime24,cactus,alpha0.03,case_010,0,ok,3.107638888888889,4.107638888888889,1182,288.0,0.5179398148148148,stop,True,6.8984907059930265
aime24,cactus,alpha0.03,case_011,0,ok,3.326955782312925,4.326955782312925,10177,2352.0,0.5544926303854876,stop,True,58.19892954919487
aime24,cactus,alpha0.03,case_012,0,ok,2.9509594882729213,3.9509594882729213,1853,469.0,0.4918265813788202,stop,True,11.086344593204558
aime24,cactus,alpha0.03,case_013,0,ok,3.091764705882353,4.091764705882353,1739,425.0,0.5152941176470588,stop,True,9.535448078997433
aime24,cactus,alpha0.03,case_014,0,ok,3.112379280070237,4.112379280070237,9367,2278.0,0.5187298800117062,stop,True,53.40467558382079
aime24,cactus,alpha0.03,case_015,0,ok,3.1068943706514864,4.106894370651487,6491,1581.0,0.5178157284419144,stop,True,36.51378413196653
aime24,cactus,alpha0.03,case_016,0,ok,3.3960511033681766,4.396051103368176,7570,1722.0,0.5660085172280295,stop,True,40.90018093818799
aime24,cactus,alpha0.03,case_017,0,ok,2.9838709677419355,3.9838709677419355,8398,2108.0,0.49731182795698925,stop,True,48.69757102616131
aime24,cactus,alpha0.03,case_018,0,ok,3.1896728016359917,4.189672801635991,16390,3912.0,0.5316121336059987,stop,True,92.51323111308739
aime24,cactus,alpha0.03,case_019,0,ok,2.9508078128767785,3.9508078128767785,32768,8294.0,0.4918013021461297,length,False,189.38482098374516
aime24,cactus,alpha0.03,case_020,0,ok,3.045529347229841,4.0455293472298415,7376,1823.0,0.5075882245383068,stop,True,42.648285063914955
aime24,cactus,alpha0.03,case_021,0,ok,2.873802582257393,3.873802582257393,18602,4802.0,0.4789670970428988,stop,True,109.4052712880075
aime24,cactus,alpha0.03,case_022,0,ok,2.879333986287953,3.879333986287953,19805,5105.0,0.4798889977146588,stop,True,119.89869860280305
aime24,cactus,alpha0.03,case_023,0,ok,3.0080049261083746,4.0080049261083746,6508,1624.0,0.5013341543513957,stop,True,38.00675496598706
aime24,cactus,alpha0.03,case_024,0,ok,3.1445236552171094,4.144523655217109,6395,1543.0,0.5240872758695183,stop,True,35.763193557970226
aime24,cactus,alpha0.03,case_025,0,ok,3.3186528497409324,4.318652849740932,3332,772.0,0.5531088082901554,stop,True,18.53240127209574
aime24,cactus,alpha0.03,case_026,0,ok,2.958705161854768,3.958705161854768,22624,5715.0,0.4931175269757947,stop,True,130.1949431472458
aime24,cactus,alpha0.03,case_027,0,ok,3.0934579439252334,4.093457943925234,1752,428.0,0.5155763239875389,stop,True,9.431434732396156
aime24,cactus,alpha0.03,case_028,0,ok,3.174018756512678,4.1740187565126785,12016,2879.0,0.5290031260854463,stop,True,67.16177380690351
aime24,cactus,alpha0.03,case_029,0,ok,3.0990764063811924,4.099076406381192,9761,2382.0,0.5165127343968654,stop,True,56.11407169839367
aime24,cactus,alpha0.03,case_030,0,ok,2.9559098268775688,3.9559098268775688,31763,8029.0,0.49265163781292814,stop,True,183.10624310187995
aime24,cactus,alpha0.08,case_001,0,ok,3.7174603174603176,4.717460317460318,2969,630.0,0.6195767195767196,stop,True,16.1396616701968
aime24,cactus,alpha0.08,case_002,0,ok,3.3349649424527055,4.3349649424527055,32768,7559.0,0.5558274904087842,length,False,189.38985006092116
aime24,cactus,alpha0.08,case_003,0,ok,3.516471399035148,4.516471399035148,32768,7255.0,0.586078566505858,length,False,185.40444647707045
aime24,cactus,alpha0.08,case_004,0,ok,3.6343159065628474,4.634315906562847,16664,3596.0,0.6057193177604746,stop,True,91.88575742021203
aime24,cactus,alpha0.08,case_005,0,ok,3.2215401785714284,4.221540178571429,7565,1792.0,0.5369233630952381,stop,True,44.56296377303079
aime24,cactus,alpha0.08,case_006,0,ok,3.2370054305663305,4.237005430566331,32768,7734.0,0.5395009050943884,length,False,192.3155450229533
aime24,cactus,alpha0.08,case_007,0,ok,3.3233624151779533,4.323362415177954,31219,7221.0,0.5538937358629922,stop,True,179.94949835259467
aime24,cactus,alpha0.08,case_008,0,ok,3.269607843137255,4.269607843137255,4354,1020.0,0.5449346405228758,stop,True,25.117622128222138
aime24,cactus,alpha0.08,case_009,0,ok,3.6907090464547676,4.690709046454767,7673,1636.0,0.615118174409128,stop,True,42.36748044099659
aime24,cactus,alpha0.08,case_010,0,ok,3.829861111111111,4.829861111111111,1390,288.0,0.6383101851851852,stop,True,7.22719613276422
aime24,cactus,alpha0.08,case_011,0,ok,3.442443729903537,4.4424437299035375,6908,1555.0,0.5737406216505895,stop,True,38.09486940223724
aime24,cactus,alpha0.08,case_012,0,ok,3.4944491887275833,4.494449188727583,5263,1171.0,0.5824081981212639,stop,True,29.874953923746943
aime24,cactus,alpha0.08,case_013,0,ok,3.675294117647059,4.675294117647059,1987,425.0,0.6125490196078431,stop,True,10.343091618735343
aime24,cactus,alpha0.08,case_014,0,ok,3.7320061255742725,4.732006125574273,9269,1959.0,0.6220010209290454,stop,True,48.08296674210578
aime24,cactus,alpha0.08,case_015,0,ok,3.6661901358112936,4.666190135811293,6528,1399.0,0.6110316893018823,stop,True,34.75560524035245
aime24,cactus,alpha0.08,case_016,0,ok,3.7605095541401274,4.760509554140127,7474,1570.0,0.6267515923566879,stop,True,39.73203459195793
aime24,cactus,alpha0.08,case_017,0,ok,3.351136199160515,4.351136199160515,30058,6909.0,0.5585226998600858,stop,True,165.94693751679733
