dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
aime24_qwen3,cactus,alpha0.03,case_001,0,ok,1.707200587803086,2.707200587803086,7370,2722.0,0.28453343130051434,stop,False,37.287745733279735
aime24_qwen3,cactus,alpha0.03,case_002,0,ok,1.9959769589466947,2.9959769589466947,32768,10937.0,0.3326628264911158,length,False,161.47010730113834
aime24_qwen3,cactus,alpha0.03,case_003,0,ok,1.764447819117523,2.764447819117523,32768,11853.0,0.29407463651958715,length,False,175.82417460298166
aime24_qwen3,cactus,alpha0.03,case_004,0,ok,1.6428103146853146,2.6428103146853146,24188,9152.0,0.27380171911421913,stop,False,132.24024782981724
aime24_qwen3,cactus,alpha0.03,case_005,0,ok,1.361058120310314,2.361058120310314,18566,7863.0,0.22684302005171902,stop,False,111.41540037561208
aime24_qwen3,cactus,alpha0.03,case_006,0,ok,1.6699258534995518,2.669925853499552,32768,12273.0,0.27832097558325863,length,False,181.45088460110128
aime24_qwen3,cactus,alpha0.03,case_007,0,ok,1.3602270612320864,2.360227061232086,25364,10746.0,0.22670451020534774,stop,False,155.16132360929623
aime24_qwen3,cactus,alpha0.03,case_008,0,ok,1.3038961038961039,2.303896103896104,7984,3465.0,0.21731601731601732,stop,False,47.40261726593599
aime24_qwen3,cactus,alpha0.03,case_009,0,ok,1.2634941987556751,2.263494198755675,13462,5947.0,0.2105823664592792,stop,False,83.2030618218705
aime24_qwen3,cactus,alpha0.03,case_010,0,ok,1.468817871548247,2.468817871548247,7958,3223.0,0.2448029785913745,stop,False,44.16451092809439
aime24_qwen3,cactus,alpha0.03,case_011,0,ok,1.5461801596351197,2.54618015963512,29030,11401.0,0.2576966932725199,stop,False,166.86452712491155
aime24_qwen3,cactus,alpha0.03,case_012,0,ok,1.5333333333333334,2.533333333333333,11515,4545.0,0.25555555555555554,stop,False,62.95167279196903
aime24_qwen3,cactus,alpha0.08,case_001,0,ok,1.931081081081081,2.9310810810810812,4339,1480.0,0.32184684684684683,stop,False,20.054855244234204
aime24_qwen3,cactus,alpha0.08,case_002,0,ok,3.003029596830576,4.003029596830576,17177,4291.0,0.5005049328050959,stop,False,60.07928881281987
aime24_qwen3,cactus,alpha0.08,case_003,0,ok,2.6217261575864734,3.6217261575864734,32768,9049.0,0.4369543595977456,length,False,133.2837944990024
aime24_qwen3,cactus,alpha0.08,case_004,0,ok,2.4254651892117916,3.4254651892117916,32768,9566.0,0.4042441982019653,length,False,141.59599944623187
