dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
gsm8k_qwen3,cactus,alpha0.03,case_001,0,ok,1.574468085106383,2.574468085106383,969,376.0,0.2624113475177305,stop,False,5.024409407749772
gsm8k_qwen3,cactus,alpha0.03,case_002,0,ok,1.4316939890710383,2.4316939890710385,446,183.0,0.23861566484517305,stop,False,2.4767117598094046
gsm8k_qwen3,cactus,alpha0.03,case_003,0,ok,2.1390625,3.1390625,2010,640.0,0.35651041666666666,stop,False,8.533157345838845
gsm8k_qwen3,cactus,alpha0.03,case_004,0,ok,1.6403508771929824,2.6403508771929824,603,228.0,0.2733918128654971,stop,False,3.076448243111372
gsm8k_qwen3,cactus,alpha0.03,case_005,0,ok,1.6611295681063123,2.661129568106312,1603,602.0,0.2768549280177187,stop,False,8.016168801113963
gsm8k_qwen3,cactus,alpha0.03,case_006,0,ok,1.88,2.88,1729,600.0,0.31333333333333335,stop,False,7.993911997415125
gsm8k_qwen3,cactus,alpha0.03,case_007,0,ok,1.7548076923076923,2.7548076923076925,1147,416.0,0.29246794871794873,stop,False,5.556010134983808
gsm8k_qwen3,cactus,alpha0.03,case_008,0,ok,1.862937062937063,2.862937062937063,2048,715.0,0.3104895104895105,length,False,9.523839948698878
gsm8k_qwen3,cactus,alpha0.03,case_009,0,ok,1.9008498583569404,2.90084985835694,2048,706.0,0.31680830972615676,length,False,9.404207333922386
gsm8k_qwen3,cactus,alpha0.03,case_010,0,ok,1.6942148760330578,2.6942148760330578,653,242.0,0.28236914600550966,stop,False,3.267816029023379
gsm8k_qwen3,cactus,alpha0.03,case_011,0,ok,2.124338624338624,3.124338624338624,1182,378.0,0.3540564373897707,stop,False,5.066809821873903
gsm8k_qwen3,cactus,alpha0.03,case_012,0,ok,1.7213541666666667,2.721354166666667,1046,384.0,0.2868923611111111,stop,False,5.129595228005201
gsm8k_qwen3,cactus,alpha0.08,case_001,0,ok,1.574468085106383,2.574468085106383,969,376.0,0.2624113475177305,stop,False,5.021695211995393
