dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
livecodebench,cactus,alpha0.03,case_001,0,ok,3.1066666666666665,4.1066666666666665,2771,675.0,0.5177777777777778,stop,True,17.895125313661993
livecodebench,cactus,alpha0.03,case_002,0,ok,3.1150044923629827,4.115004492362983,4577,1113.0,0.5191674153938305,stop,True,28.66031392198056
livecodebench,cactus,alpha0.03,case_003,0,ok,3.0240622788393487,4.024062278839349,5685,1413.0,0.5040103798065582,stop,True,35.64250160288066
livecodebench,cactus,alpha0.03,case_004,0,ok,3.097728836889195,4.097728836889194,5952,1453.0,0.5162881394815325,stop,True,36.085294008255005
livecodebench,cactus,alpha0.03,case_005,0,ok,2.9604553624925103,3.9604553624925103,6608,1669.0,0.49340922708208507,stop,True,40.352259100880474
livecodebench,cactus,alpha0.03,case_006,0,ok,2.6431014823261116,3.6431014823261116,3195,877.0,0.44051691372101864,stop,True,21.269972417969257
livecodebench,cactus,alpha0.03,case_007,0,ok,3.1001855287569575,4.100185528756958,2208,539.0,0.5166975881261595,stop,True,13.095866055693477
livecodebench,cactus,alpha0.03,case_008,0,ok,2.7520661157024793,3.7520661157024793,905,242.0,0.45867768595041325,stop,True,6.6418101619929075
livecodebench,cactus,alpha0.03,case_009,0,ok,2.9278215223097113,3.9278215223097113,5984,1524.0,0.48797025371828523,stop,True,36.697807266842574
livecodebench,cactus,alpha0.03,case_010,0,ok,3.0191304347826087,4.019130434782609,2310,575.0,0.5031884057971014,stop,True,14.308075722772628
livecodebench,cactus,alpha0.03,case_011,0,ok,3.0395962732919255,4.0395962732919255,5201,1288.0,0.5065993788819876,stop,True,32.79467588290572
livecodebench,cactus,alpha0.03,case_012,0,ok,2.9575645756457565,3.9575645756457565,2144,542.0,0.4929274292742927,stop,True,13.962996917311102
livecodebench,cactus,alpha0.08,case_001,0,ok,3.468421052631579,4.468421052631578,2546,570.0,0.5780701754385965,stop,True,15.595394392032176
livecodebench,cactus,alpha0.08,case_002,0,ok,3.68728984532616,4.68728984532616,6969,1487.0,0.61454830755436,stop,True,40.411624485161155
livecodebench,cactus,alpha0.08,case_003,0,ok,3.550660792951542,4.5506607929515415,6195,1362.0,0.591776798825257,stop,True,34.88140842691064
livecodebench,cactus,alpha0.08,case_004,0,ok,3.588328075709779,4.588328075709779,2908,634.0,0.5980546792849631,stop,True,16.72899281186983
livecodebench,cactus,alpha0.08,case_005,0,ok,3.5220306513409962,4.522030651340996,9440,2088.0,0.5870051085568327,stop,True,52.85823779599741
livecodebench,cactus,alpha0.08,case_006,0,ok,3.458181818181818,4.458181818181818,7355,1650.0,0.5763636363636364,stop,True,41.52056405786425
livecodebench,cactus,alpha0.08,case_007,0,ok,3.3003412969283277,4.300341296928328,1259,293.0,0.550056882821388,stop,True,7.609767476096749
livecodebench,cactus,alpha0.08,case_008,0,ok,3.3529411764705883,4.352941176470589,1553,357.0,0.5588235294117647,stop,True,9.947081422433257
livecodebench,cactus,alpha0.08,case_009,0,ok,3.6153846153846154,4.615384615384615,6717,1456.0,0.6025641025641025,stop,True,38.29627096001059
livecodebench,cactus,alpha0.08,case_010,0,ok,3.2992700729927007,4.299270072992701,2355,548.0,0.5498783454987834,stop,True,14.354337173048407
livecodebench,cactus,alpha0.08,case_011,0,ok,3.459360730593607,4.459360730593607,4880,1095.0,0.5765601217656012,stop,True,28.150026286952198
livecodebench,cactus,alpha0.08,case_012,0,ok,3.2149200710479575,4.214920071047958,2372,563.0,0.5358200118413262,stop,True,14.746277519036084
livecodebench,cactus,alpha0.18,case_001,0,ok,3.8348909657320873,4.834890965732088,3102,642.0,0.6391484942886813,stop,True,18.33143339306116
livecodebench,cactus,alpha0.18,case_002,0,ok,4.06414762741652,5.06414762741652,5759,1138.0,0.6773579379027533,stop,True,31.33926535770297
livecodebench,cactus,alpha0.18,case_003,0,ok,3.911946158160404,4.911946158160404,8755,1783.0,0.6519910263600673,stop,True,47.03995651099831
livecodebench,cactus,alpha0.18,case_004,0,ok,4.061076604554866,5.061076604554866,4886,966.0,0.6768461007591442,stop,True,27.545506488066167
livecodebench,cactus,alpha0.18,case_005,0,ok,4.341685649202733,5.341685649202733,4690,878.0,0.7236142748671223,stop,True,24.096948818303645
livecodebench,cactus,alpha0.18,case_006,0,ok,3.8705137227304713,4.870513722730472,6918,1421.0,0.6450856204550786,stop,True,37.66254764283076
livecodebench,cactus,alpha0.18,case_007,0,ok,3.8070444104134764,4.807044410413477,3136,653.0,0.6345074017355794,stop,True,17.039266404230148
livecodebench,cactus,alpha0.18,case_008,0,ok,3.662962962962963,4.662962962962963,2516,540.0,0.6104938271604938,stop,True,14.42387568205595
livecodebench,cactus,alpha0.18,case_009,0,ok,3.872057936028968,4.872057936028968,8072,1657.0,0.6453429893381614,stop,True,44.1453392659314
livecodebench,cactus,alpha0.18,case_010,0,ok,4.002232142857143,5.002232142857143,4481,896.0,0.6670386904761905,stop,True,24.248429265338928
livecodebench,cactus,alpha0.18,case_011,0,ok,4.107317073170732,5.107317073170732,10468,2050.0,0.6845528455284553,stop,True,55.49574768496677
livecodebench,cactus,alpha0.18,case_012,0,ok,3.605392156862745,4.605392156862745,1877,408.0,0.6008986928104575,stop,True,11.895620222203434
livecodebench,cactus,alpha0.35,case_001,0,ok,4.3175591531755915,5.3175591531755915,4266,803.0,0.7195931921959319,stop,True,23.10922382818535
livecodebench,cactus,alpha0.35,case_002,0,ok,4.323163138231632,5.323163138231632,8546,1606.0,0.7205271897052719,stop,True,46.3334640157409
livecodebench,cactus,alpha0.35,case_003,0,ok,4.3341596430342095,5.3341596430342095,10756,2017.0,0.7223599405057015,stop,True,56.32980001298711
livecodebench,mentored_dec,alpha0.15,case_001,0,ok,2.437606837606838,3.437606837606838,2010,585.0,0.4062678062678063,stop,True,14.349589600227773
livecodebench,mentored_dec,alpha0.15,case_002,0,ok,2.5349514563106794,3.5349514563106794,3639,1030.0,0.4224919093851133,stop,True,25.013872876763344
livecodebench,mentored_dec,alpha0.15,case_003,0,ok,2.074688796680498,3.074688796680498,2961,964.0,0.3457814661134163,stop,True,21.563448446802795
livecodebench,mentored_dec,alpha0.15,case_004,0,ok,2.511461318051576,3.511461318051576,2450,698.0,0.4185768863419293,stop,True,16.76947501534596
livecodebench,mentored_dec,alpha0.15,case_005,0,ok,2.15785319652723,3.15785319652723,12000,3801.0,0.35964219942120496,length,True,84.5362587007694
livecodebench,mentored_dec,alpha0.15,case_006,0,ok,2.0995132504056246,3.0995132504056246,5731,1849.0,0.3499188750676041,stop,True,40.58840475231409
livecodebench,mentored_dec,alpha0.15,case_007,0,ok,2.5520446096654275,3.5520446096654275,1910,538.0,0.4253407682775712,stop,True,12.818127480801195
livecodebench,mentored_dec,alpha0.15,case_008,0,ok,2.702770780856423,3.702770780856423,1469,397.0,0.45046179680940385,stop,True,10.162467196118087
livecodebench,mentored_dec,alpha0.15,case_009,0,ok,2.003827227993439,3.003827227993439,5492,1829.0,0.3339712046655732,stop,True,39.79746353905648
livecodebench,mentored_dec,alpha0.15,case_010,0,ok,2.3430493273542603,3.3430493273542603,1491,446.0,0.39050822122571,stop,True,10.646524647250772
livecodebench,mentored_dec,alpha0.15,case_011,0,ok,2.425106990014265,3.425106990014265,4801,1402.0,0.4041844983357109,stop,True,33.09134413814172
livecodebench,mentored_dec,alpha0.15,case_012,0,ok,2.617391304347826,3.617391304347826,1661,460.0,0.43623188405797103,stop,True,11.53544690972194
livecodebench,mentored_dec,alpha0.35,case_001,0,ok,2.6501950585175553,3.6501950585175553,2806,769.0,0.44169917641959255,stop,True,18.83374428888783
livecodebench,mentored_dec,alpha0.35,case_002,0,ok,2.963519313304721,3.963519313304721,3691,932.0,0.49391988555078686,stop,True,23.616281322669238
livecodebench,mentored_dec,alpha0.35,case_003,0,ok,2.563348416289593,3.563348416289593,3147,884.0,0.42722473604826544,stop,True,20.385491469874978
livecodebench,mentored_dec,alpha0.35,case_004,0,ok,2.828473413379074,3.828473413379074,2231,583.0,0.47141223556317896,stop,True,14.60025511495769
livecodebench,mentored_dec,alpha0.35,case_005,0,ok,2.2632580908349196,3.2632580908349196,12000,3677.0,0.37720968180582,length,True,82.69141347706318
livecodebench,mentored_dec,alpha0.35,case_006,0,ok,2.381260096930533,3.381260096930533,6278,1857.0,0.39687668282175553,stop,True,42.034755168017
livecodebench,mentored_dec,alpha0.35,case_007,0,ok,2.9,3.9,2144,550.0,0.48333333333333334,stop,True,13.163770229090005
livecodebench,mentored_dec,alpha0.35,case_008,0,ok,2.846435100548446,3.846435100548446,2102,547.0,0.4744058500914077,stop,True,13.739523436874151
livecodebench,mentored_dec,alpha0.35,case_009,0,ok,2.2929864253393664,3.2929864253393664,5823,1768.0,0.3821644042232277,stop,True,39.83636496635154
livecodebench,mentored_dec,alpha0.35,case_010,0,ok,2.427994616419919,3.427994616419919,2544,743.0,0.4046657694033199,stop,True,17.321283458266407
livecodebench,mentored_dec,alpha0.35,case_011,0,ok,2.667016806722689,3.667016806722689,3491,952.0,0.44450280112044815,stop,True,23.43523161113262
livecodebench,mentored_dec,alpha0.35,case_012,0,ok,2.719327731092437,3.719327731092437,2212,595.0,0.45322128851540616,stop,True,14.659113985020667
livecodebench,mentored_dec,alpha0.55,case_001,0,ok,3.2186948853615522,4.218694885361552,2389,567.0,0.5364491475602586,stop,True,14.765039850026369
livecodebench,mentored_dec,alpha0.55,case_002,0,ok,3.0960658737419946,4.096065873741995,4478,1093.0,0.5160109789569991,stop,True,27.470995341893286
livecodebench,mentored_dec,alpha0.55,case_003,0,ok,2.8364285714285713,3.8364285714285713,5368,1400.0,0.47273809523809524,stop,True,34.18407896440476
livecodebench,mentored_dec,alpha0.75,case_001,0,ok,3.403169014084507,4.403169014084507,2498,568.0,0.5671948356807511,stop,True,15.549257404636592
livecodebench,mentored_dec,alpha0.75,case_002,0,ok,3.5481171548117154,4.548117154811715,3258,717.0,0.5913528591352859,stop,True,19.705961348023266
livecodebench,mentored_dec,alpha0.75,case_003,0,ok,3.227110582639715,4.227110582639715,3553,841.0,0.5378517637732858,stop,True,21.56536633009091
livecodebench,mentored_dec,alpha0.75,case_004,0,ok,3.643302180685358,4.6433021806853585,2980,642.0,0.6072170301142263,stop,True,17.426432214211673
livecodebench,mentored_dec,alpha0.75,case_005,0,ok,3.1739130434782608,4.173913043478261,12000,2875.0,0.5289855072463768,length,False,70.57636316725984
livecodebench,mentored_dec,alpha0.75,case_006,0,ok,3.175840978593272,4.175840978593272,8190,1962.0,0.5293068297655453,stop,True,49.23453293181956
livecodebench,mentored_dec,alpha0.75,case_007,0,ok,3.153700189753321,4.153700189753321,2187,527.0,0.5256166982922201,stop,True,13.325856868643314
livecodebench,mentored_dec,alpha0.75,case_008,0,ok,3.342857142857143,4.342857142857143,1822,420.0,0.5571428571428572,stop,True,11.361073268111795
livecodebench,mentored_dec,alpha0.75,case_009,0,ok,3.189206349206349,4.18920634920635,6595,1575.0,0.5315343915343915,stop,True,38.8749092859216
livecodebench,mentored_dec,alpha0.75,case_010,0,ok,2.993963782696177,3.993963782696177,1982,497.0,0.49899396378269617,stop,True,12.244301376864314
livecodebench,mentored_dec,alpha0.75,case_011,0,ok,3.49009900990099,4.49009900990099,6346,1414.0,0.5816831683168316,stop,True,37.26493981992826
livecodebench,mentored_dec,alpha0.75,case_012,0,ok,3.3402061855670104,4.340206185567011,2103,485.0,0.5567010309278351,stop,True,13.130326482001692
livecodebench,r_fuzzy,alpha0.03,case_001,0,ok,2.3121783876500857,3.3121783876500857,1929,583.0,0.3853630646083476,stop,True,13.782615209929645
livecodebench,r_fuzzy,alpha0.03,case_002,0,ok,2.4054347826086957,3.4054347826086957,3132,920.0,0.4009057971014493,stop,True,21.666777051985264
livecodebench,r_fuzzy,alpha0.03,case_003,0,ok,2.2497354497354496,3.2497354497354496,3069,945.0,0.37495590828924164,stop,True,21.225839408114552
