dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
livecodebench_qwen3,cactus,alpha0.03,case_001,0,ok,1.3327294685990339,2.332729468599034,3864,1656.0,0.22212157809983896,stop,False,22.45007617259398
livecodebench_qwen3,cactus,alpha0.03,case_002,0,ok,1.5489488214058187,2.5489488214058187,12000,4709.0,0.2581581369009698,length,False,65.56593550695106
livecodebench_qwen3,cactus,alpha0.03,case_003,0,ok,1.432394080681127,2.432394080681127,12000,4933.0,0.23873234678018784,length,False,68.45132051594555
livecodebench_qwen3,cactus,alpha0.03,case_004,0,ok,1.2267646119450655,2.2267646119450655,6973,3131.0,0.20446076865751092,stop,False,42.92701774695888
livecodebench_qwen3,cactus,alpha0.03,case_005,0,ok,1.6130226480836236,2.6130226480836236,12000,4592.0,0.2688371080139373,length,False,63.98566746432334
livecodebench_qwen3,cactus,alpha0.03,case_006,0,ok,1.198204799413812,2.198204799413812,12000,5459.0,0.199700799902302,length,False,76.08009507507086
livecodebench_qwen3,cactus,alpha0.03,case_007,0,ok,1.2195708472068072,2.219570847206807,12000,5406.0,0.2032618078678012,length,False,75.15763978194445
livecodebench_qwen3,cactus,alpha0.03,case_008,0,ok,1.314321926489227,2.314321926489227,5479,2367.0,0.21905365441487115,stop,False,32.303741828072816
livecodebench_qwen3,cactus,alpha0.03,case_009,0,ok,1.2579492003762935,2.2579492003762933,12000,5315.0,0.20965820006271557,length,False,73.9164265030995
livecodebench_qwen3,cactus,alpha0.03,case_010,0,ok,1.2173656231541643,2.2173656231541643,3753,1693.0,0.20289427052569403,stop,False,22.947632309049368
livecodebench_qwen3,cactus,alpha0.03,case_011,0,ok,1.2869287991498406,2.2869287991498406,10761,4705.0,0.2144881331916401,stop,False,65.41199501231313
livecodebench_qwen3,cactus,alpha0.03,case_012,0,ok,1.2185965925498123,2.2185965925498126,7684,3463.0,0.2030994320916354,stop,False,47.61413703812286
livecodebench_qwen3,cactus,alpha0.03,case_013,0,ok,1.4684898929845422,2.4684898929845422,6227,2523.0,0.2447483154974237,stop,False,51.366392630152404
livecodebench_qwen3,cactus,alpha0.03,case_014,0,ok,1.7552238805970148,2.755223880597015,12000,4355.0,0.29253731343283584,length,False,94.7087960219942
livecodebench_qwen3,cactus,alpha0.03,case_015,0,ok,1.5052192066805845,2.5052192066805845,12000,4790.0,0.2508698677800974,length,False,100.6952197002247
livecodebench_qwen3,cactus,alpha0.03,case_016,0,ok,1.420018421860608,2.420018421860608,7881,3257.0,0.236669736976768,stop,False,67.45390652306378
livecodebench_qwen3,cactus,alpha0.03,case_017,0,ok,1.2814971006852927,2.281497100685293,4329,1897.0,0.21358285011421543,stop,False,38.5837542260997
livecodebench_qwen3,cactus,alpha0.03,case_018,0,ok,1.2764020393299345,2.2764020393299345,6250,2746.0,0.21273367322165573,stop,False,55.61808139225468
livecodebench_qwen3,cactus,alpha0.03,case_019,0,ok,1.2272036474164134,2.227203647416413,2932,1316.0,0.20453394123606888,stop,False,26.493858710862696
livecodebench_qwen3,cactus,alpha0.03,case_020,0,ok,1.397877223178428,2.397877223178428,8360,3486.0,0.23297953719640466,stop,False,72.04534717882052
livecodebench_qwen3,cactus,alpha0.03,case_021,0,ok,1.5018091361374943,2.5018091361374943,11064,4422.0,0.2503015226895824,stop,False,93.29070102283731
livecodebench_qwen3,cactus,alpha0.03,case_022,0,ok,1.2348484848484849,2.234848484848485,4131,1848.0,0.2058080808080808,stop,False,37.0623135920614
livecodebench_qwen3,cactus,alpha0.03,case_023,0,ok,1.3352465431776677,2.335246543177668,8950,3833.0,0.22254109052961127,stop,False,78.91325021302328
livecodebench_qwen3,cactus,alpha0.03,case_024,0,ok,1.3509012539184952,2.3509012539184955,12000,5104.0,0.22515020898641588,length,False,105.67528077401221
livecodebench_qwen3,cactus,alpha0.03,case_025,0,ok,1.3584752635847526,2.3584752635847526,8725,3699.0,0.2264125439307921,stop,False,76.05139459576458
livecodebench_qwen3,cactus,alpha0.03,case_026,0,ok,1.3660855784469097,2.36608557844691,4480,1893.0,0.22768092974115162,stop,False,38.659029986243695
livecodebench_qwen3,cactus,alpha0.03,case_027,0,ok,1.4375380865326022,2.4375380865326024,12000,4923.0,0.23958968108876702,length,False,102.92643785104156
livecodebench_qwen3,cactus,alpha0.03,case_028,0,ok,1.3539182282793867,2.3539182282793867,11055,4696.0,0.22565303804656445,stop,False,97.06408103415743
livecodebench_qwen3,cactus,alpha0.03,case_029,0,ok,1.4909694830807556,2.4909694830807556,12000,4817.0,0.24849491384679262,length,False,101.74823664035648
livecodebench_qwen3,cactus,alpha0.03,case_030,0,ok,1.5330377876293013,2.5330377876293015,12000,4737.0,0.2555062979382169,length,False,100.20205288100988
livecodebench_qwen3,cactus,alpha0.03,case_031,0,ok,1.3839285714285714,2.383928571428571,2135,896.0,0.23065476190476192,stop,False,18.206302517093718
livecodebench_qwen3,cactus,alpha0.03,case_032,0,ok,1.6089130434782608,2.608913043478261,12000,4600.0,0.26815217391304347,length,False,97.99362361384556
livecodebench_qwen3,cactus,alpha0.03,case_033,0,ok,1.2740846798936387,2.2740846798936385,11117,4889.0,0.21234744664893979,stop,False,100.07708062371239
livecodebench_qwen3,cactus,alpha0.03,case_034,0,ok,1.3393957172191258,2.3393957172191255,7976,3409.0,0.223232619536521,stop,False,70.05487476661801
livecodebench_qwen3,cactus,alpha0.03,case_035,0,ok,1.545410393394852,2.545410393394852,5242,2059.0,0.25756839889914196,stop,False,43.18961776420474
livecodebench_qwen3,cactus,alpha0.03,case_036,0,ok,1.5902366863905326,2.590236686390533,7005,2704.0,0.2650394477317554,stop,False,57.245121634565294
livecodebench_qwen3,cactus,alpha0.03,case_037,0,ok,1.4133522727272727,2.4133522727272725,5098,2112.0,0.23555871212121213,stop,False,43.78113602800295
livecodebench_qwen3,cactus,alpha0.03,case_038,0,ok,1.1690821256038648,2.1690821256038646,1346,621.0,0.19484702093397746,stop,False,12.495387966744602
livecodebench_qwen3,cactus,alpha0.03,case_039,0,ok,1.4894190871369295,2.4894190871369295,12000,4820.0,0.24823651452282158,length,False,101.40725926822051
livecodebench_qwen3,cactus,alpha0.03,case_040,0,ok,1.5065803217046168,2.5065803217046168,12000,4787.0,0.2510967202841028,length,False,101.06024160096422
livecodebench_qwen3,cactus,alpha0.03,case_041,0,ok,1.3713438735177865,2.3713438735177865,12000,5060.0,0.22855731225296444,length,False,105.31202465528622
livecodebench_qwen3,cactus,alpha0.03,case_042,0,ok,1.2854838709677419,2.2854838709677416,5669,2480.0,0.21424731182795698,stop,False,50.79014066187665
livecodebench_qwen3,cactus,alpha0.03,case_043,0,ok,1.4363286881307065,2.4363286881307067,5069,2081.0,0.23938811468845106,stop,False,43.50166098680347
livecodebench_qwen3,cactus,alpha0.03,case_044,0,ok,1.5054945054945055,2.5054945054945055,4333,1729.0,0.2509157509157509,stop,False,36.38400667300448
livecodebench_qwen3,cactus,alpha0.03,case_045,0,ok,1.3391544117647058,2.3391544117647056,2546,1088.0,0.22319240196078433,stop,False,22.839797628112137
livecodebench_qwen3,cactus,alpha0.03,case_046,0,ok,1.4640657084188913,2.4640657084188913,12000,4870.0,0.24401095140314852,length,False,103.66898202011362
livecodebench_qwen3,cactus,alpha0.03,case_047,0,ok,1.6399032116146062,2.639903211614606,12000,4546.0,0.2733172019357677,length,False,98.69618625193834
livecodebench_qwen3,cactus,alpha0.03,case_048,0,ok,1.6582875098193244,2.658287509819324,3383,1273.0,0.2763812516365541,stop,False,27.22621024865657
livecodebench_qwen3,cactus,alpha0.03,case_049,0,ok,1.524190155658393,2.5241901556583928,12000,4754.0,0.25403169260973213,length,False,103.04266757005826
livecodebench_qwen3,cactus,alpha0.03,case_050,0,ok,1.4181989627534182,2.418198962753418,5130,2121.0,0.23636649379223637,stop,False,43.83819878799841
livecodebench_qwen3,cactus,alpha0.08,case_001,0,ok,1.3921487603305784,2.3921487603305787,5788,2420.0,0.23202479338842974,stop,False,33.05255951592699
livecodebench_qwen3,cactus,alpha0.08,case_002,0,ok,1.6982235214751518,2.6982235214751515,12000,4447.0,0.28303725357919196,length,False,61.970566655974835
livecodebench_qwen3,cactus,alpha0.08,case_003,0,ok,1.8802495800335972,2.880249580033597,12000,4167.0,0.3133749300055996,length,False,57.75006907992065
livecodebench_qwen3,cactus,alpha0.18,case_001,0,ok,1.3627334127930075,2.3627334127930073,5946,2517.0,0.22712223546550125,stop,False,34.3420983296819
livecodebench_qwen3,cactus,alpha0.18,case_002,0,ok,2.176766340301667,3.176766340301667,12000,3779.0,0.36279439005027786,length,False,52.574229126796126
livecodebench_qwen3,cactus,alpha0.18,case_003,0,ok,2.775715633847122,3.775715633847122,12000,3179.0,0.4626192723078536,length,False,44.00386370299384
livecodebench_qwen3,cactus,alpha0.18,case_004,0,ok,1.3205204021289179,2.320520402128918,3925,1691.0,0.22008673368815296,stop,False,22.94013826502487
livecodebench_qwen3,cactus,alpha0.18,case_005,0,ok,2.6399757355171367,3.6399757355171367,12000,3297.0,0.4399959559195228,length,False,45.71890851389617
livecodebench_qwen3,cactus,alpha0.18,case_006,0,ok,2.183240519756033,3.183240519756033,12000,3771.0,0.3638734199593388,length,False,52.30695135612041
livecodebench_qwen3,cactus,alpha0.18,case_007,0,ok,1.9145008501335925,2.9145008501335923,12000,4117.0,0.3190834750222654,length,False,57.041491630952805
livecodebench_qwen3,cactus,alpha0.18,case_008,0,ok,1.3612781954887219,2.3612781954887216,6280,2660.0,0.2268796992481203,stop,False,36.345523479394615
livecodebench_qwen3,cactus,alpha0.18,case_009,0,ok,2.2085561497326203,3.2085561497326203,12000,3740.0,0.3680926916221034,length,False,51.92391665792093
livecodebench_qwen3,cactus,alpha0.18,case_010,0,ok,1.2628836132020846,2.2628836132020846,3909,1727.0,0.21048060220034742,stop,False,23.405125512741506
livecodebench_qwen3,cactus,alpha0.18,case_011,0,ok,1.589051963506545,2.589051963506545,6528,2521.0,0.2648419939177575,stop,False,34.53003836795688
livecodebench_qwen3,cactus,alpha0.18,case_012,0,ok,1.388148667601683,2.388148667601683,6812,2852.0,0.23135811126694716,stop,False,39.047374906018376
livecodebench_qwen3,cactus,alpha0.18,case_013,0,ok,1.5675029868578256,2.567502986857826,4299,1674.0,0.2612504978096376,stop,False,34.05759114399552
livecodebench_qwen3,cactus,alpha0.18,case_014,0,ok,2.4577931431864015,3.4577931431864015,12000,3471.0,0.4096321905310669,length,False,81.79537093406543
livecodebench_qwen3,cactus,alpha0.18,case_015,0,ok,2.4132536973833902,3.4132536973833902,12000,3516.0,0.40220894956389835,length,False,82.386796052102
livecodebench_qwen3,cactus,alpha0.18,case_016,0,ok,2.6772908366533863,3.6772908366533863,12000,3263.0,0.44621513944223107,length,False,78.3940116497688
livecodebench_qwen3,cactus,alpha0.18,case_017,0,ok,1.3908127208480565,2.3908127208480563,3382,1415.0,0.23180212014134274,stop,False,28.73311069002375
livecodebench_qwen3,cactus,alpha0.18,case_018,0,ok,1.6686293752044488,2.668629375204449,8159,3057.0,0.2781048958674081,stop,False,65.29121058620512
livecodebench_qwen3,cactus,alpha0.18,case_019,0,ok,1.327185244587009,2.327185244587009,2901,1247.0,0.22119754076450146,stop,False,25.41041153902188
livecodebench_qwen3,cactus,alpha0.18,case_020,0,ok,2.4659156556903525,3.4659156556903525,12000,3462.0,0.4109859426150587,length,False,81.41869070520625
livecodebench_qwen3,cactus,alpha0.18,case_021,0,ok,1.6568468760116541,2.656846876011654,8208,3089.0,0.2761411460019424,stop,False,65.96669417712837
livecodebench_qwen3,cactus,alpha0.18,case_022,0,ok,1.2796610169491525,2.2796610169491522,5110,2242.0,0.2132768361581921,stop,False,45.919219302013516
livecodebench_qwen3,cactus,alpha0.18,case_023,0,ok,1.9133284777858703,2.9133284777858703,12000,4119.0,0.31888807963097837,length,False,90.95774553902447
livecodebench_qwen3,cactus,alpha0.18,case_024,0,ok,2.223804406233208,3.223804406233208,12000,3722.0,0.37063406770553464,length,False,85.37837748089805
livecodebench_qwen3,cactus,alpha0.18,case_025,0,ok,1.7266417512012813,2.7266417512012815,5108,1873.0,0.28777362520021355,stop,False,39.988233922980726
livecodebench_qwen3,cactus,alpha0.18,case_026,0,ok,1.396078431372549,2.396078431372549,2443,1020.0,0.2326797385620915,stop,False,21.080737660638988
livecodebench_qwen3,cactus,alpha0.18,case_027,0,ok,2.5095057034220534,3.5095057034220534,12000,3419.0,0.41825095057034223,length,False,81.09117575641721
livecodebench_qwen3,cactus,alpha0.18,case_028,0,ok,2.1158140742664244,3.1158140742664244,12000,3851.0,0.35263567904440407,length,False,87.80880057811737
livecodebench_qwen3,cactus,alpha0.18,case_029,0,ok,2.5175849941383355,3.5175849941383355,12000,3412.0,0.4195974990230559,length,False,80.54322285018861
livecodebench_qwen3,cactus,alpha0.18,case_030,0,ok,2.4305317324185247,3.4305317324185247,12000,3498.0,0.40508862206975416,length,False,82.0835023582913
livecodebench_qwen3,cactus,alpha0.18,case_031,0,ok,1.4853128991060025,2.4853128991060025,1945,783.0,0.24755214985100044,stop,False,16.170136532746255
livecodebench_qwen3,cactus,alpha0.18,case_032,0,ok,2.53519882179676,3.53519882179676,12000,3395.0,0.42253313696612665,length,False,79.7205053139478
livecodebench_qwen3,cactus,alpha0.18,case_033,0,ok,1.8664596273291925,2.8664596273291925,12000,4186.0,0.3110766045548654,length,False,92.21292064106092
livecodebench_qwen3,cactus,alpha0.18,case_034,0,ok,2.041571609632446,3.041571609632446,12000,3945.0,0.340261934938741,length,False,87.87792327906936
livecodebench_qwen3,cactus,alpha0.18,case_035,0,ok,1.8490038448095072,2.8490038448095074,8152,2861.0,0.3081673074682512,stop,False,62.02282900782302
