dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
longbench_v2,cactus,alpha0.03,case_001,0,ok,3.955678670360111,4.955678670360111,1788,361.0,0.6592797783933518,stop,True,98.85802826657891
longbench_v2,cactus,alpha0.03,case_002,0,ok,3.1576923076923076,4.157692307692308,2161,520.0,0.5262820512820513,stop,True,121.67725408589467
longbench_v2,cactus,alpha0.03,case_003,0,ok,4.511428571428572,5.511428571428572,1928,350.0,0.7519047619047619,stop,True,89.3611307987012
longbench_v2,cactus,alpha0.03,case_004,0,ok,3.808450704225352,4.808450704225352,1705,355.0,0.6347417840375587,stop,True,57.60609609307721
longbench_v2,cactus,alpha0.03,case_005,0,ok,3.327272727272727,4.327272727272727,950,220.0,0.5545454545454546,stop,True,36.59915333800018
longbench_v2,cactus,alpha0.03,case_006,0,ok,3.5134986225895317,4.513498622589532,8192,1815.0,0.585583103764922,length,False,112.01065422501415
longbench_v2,cactus,alpha0.03,case_007,0,ok,3.3510971786833856,4.351097178683386,1389,319.0,0.5585161964472309,stop,True,108.90352471824735
longbench_v2,cactus,alpha0.03,case_008,0,ok,2.962800875273523,3.962800875273523,1810,457.0,0.4938001458789205,stop,True,85.50955378171057
longbench_v2,cactus,alpha0.03,case_009,0,ok,3.377457404980341,4.3774574049803405,3341,763.0,0.5629095674967235,stop,True,83.0560904708691
longbench_v2,cactus,alpha0.03,case_010,0,ok,3.3746031746031746,4.374603174603175,1379,315.0,0.5624338624338624,stop,True,104.53544765291736
longbench_v2,cactus,alpha0.03,case_011,0,ok,3.485074626865672,4.485074626865671,600,134.0,0.5808457711442786,stop,True,54.09625871386379
longbench_v2,cactus,alpha0.03,case_012,0,ok,3.258555133079848,4.258555133079848,1120,263.0,0.5430925221799746,stop,True,45.01294694840908
longbench_v2,cactus,alpha0.08,case_001,0,ok,4.305439330543933,5.305439330543933,1266,239.0,0.7175732217573222,stop,True,95.8496154169552
longbench_v2,cactus,alpha0.08,case_002,0,ok,3.83248730964467,4.832487309644669,948,197.0,0.6387478849407784,stop,True,114.42524056881666
longbench_v2,cactus,alpha0.08,case_003,0,ok,5.127659574468085,6.127659574468085,4031,658.0,0.8546099290780141,stop,True,100.564084418118
longbench_v2,cactus,alpha0.18,case_001,0,ok,4.89873417721519,5.89873417721519,930,158.0,0.8164556962025317,stop,True,94.01210759067908
longbench_v2,cactus,alpha0.18,case_002,0,ok,4.33,5.33,1061,200.0,0.7216666666666667,stop,True,114.6991432798095
longbench_v2,cactus,alpha0.18,case_003,0,ok,4.470588235294118,5.470588235294118,462,85.0,0.7450980392156863,stop,True,81.3020092039369
longbench_v2,cactus,alpha0.18,case_004,0,ok,4.64638783269962,5.64638783269962,1486,263.0,0.7743979721166033,stop,True,54.637303011957556
longbench_v2,cactus,alpha0.18,case_005,0,ok,4.195121951219512,5.195121951219512,852,164.0,0.6991869918699187,stop,True,35.600759658031166
longbench_v2,cactus,alpha0.18,case_006,0,ok,4.750844594594595,5.750844594594595,6804,1184.0,0.7918074324324325,stop,True,98.68668200075626
longbench_v2,cactus,alpha0.18,case_007,0,ok,4.570281124497992,5.570281124497992,2774,498.0,0.7617135207496654,stop,True,114.26931291632354
longbench_v2,cactus,alpha0.18,case_008,0,ok,3.918406072106262,4.9184060721062615,2593,527.0,0.653067678684377,stop,True,89.47934195725247
longbench_v2,cactus,alpha0.18,case_009,0,ok,4.232394366197183,5.232394366197183,1485,284.0,0.7053990610328639,stop,True,71.01396428467706
longbench_v2,cactus,alpha0.18,case_010,0,ok,4.836309523809524,5.836309523809524,1960,336.0,0.8060515873015873,stop,True,105.91559343691915
longbench_v2,cactus,alpha0.18,case_011,0,ok,4.017857142857143,5.017857142857143,276,56.0,0.6696428571428571,stop,True,52.10141938412562
longbench_v2,cactus,alpha0.18,case_012,0,ok,4.653061224489796,5.653061224489796,1663,294.0,0.7755102040816326,stop,True,46.40306675201282
longbench_v2,cactus,alpha0.35,case_001,0,ok,5.17948717948718,6.17948717948718,1447,234.0,0.8632478632478633,stop,True,96.35711568873376
longbench_v2,cactus,alpha0.35,case_002,0,ok,5.018348623853211,6.018348623853211,657,109.0,0.8363914373088684,stop,True,112.53613533778116
longbench_v2,cactus,alpha0.35,case_003,0,ok,5.517890772128061,6.517890772128061,3460,531.0,0.9196484620213434,stop,True,95.21733908401802
longbench_v2,cactus,alpha0.35,case_004,0,ok,5.147757255936676,6.147757255936676,2328,379.0,0.8579595426561126,stop,True,58.963213621173054
longbench_v2,cactus,alpha0.35,case_005,0,ok,5.107317073170732,6.107317073170732,1248,205.0,0.8512195121951219,stop,True,37.29042439395562
longbench_v2,cactus,alpha0.35,case_006,0,ok,5.133982035928144,6.133982035928144,8192,1336.0,0.8556636726546906,length,False,102.16080255107954
longbench_v2,cactus,alpha0.35,case_007,0,ok,4.96048632218845,5.96048632218845,1961,329.0,0.8267477203647416,stop,True,110.42038164520636
longbench_v2,cactus,alpha0.35,case_008,0,ok,3.939814814814815,4.939814814814815,4267,864.0,0.6566358024691358,stop,True,97.01996172498912
longbench_v2,cactus,alpha0.35,case_009,0,ok,4.692667706708268,5.692667706708268,3648,641.0,0.782111284451378,stop,True,83.23299094894901
longbench_v2,cactus,alpha0.35,case_010,0,ok,4.4411764705882355,5.4411764705882355,920,170.0,0.7401960784313726,stop,True,100.71550614805892
longbench_v2,cactus,alpha0.35,case_011,0,ok,4.741071428571429,5.741071428571429,640,112.0,0.7901785714285714,stop,True,53.79580470873043
longbench_v2,cactus,alpha0.35,case_012,0,ok,4.820754716981132,5.820754716981132,1234,212.0,0.8034591194968553,stop,True,44.14422011002898
longbench_v2,mentored_dec,alpha0.15,case_001,0,ok,2.056122448979592,3.056122448979592,1795,588.0,0.342687074829932,stop,True,102.16899189632386
longbench_v2,mentored_dec,alpha0.15,case_002,0,ok,1.425531914893617,2.425531914893617,229,94.0,0.2375886524822695,stop,True,111.84421106195077
longbench_v2,mentored_dec,alpha0.15,case_003,0,ok,1.7878787878787878,2.787878787878788,735,264.0,0.29797979797979796,stop,True,84.17359315697104
longbench_v2,mentored_dec,alpha0.15,case_004,0,ok,2.296969696969697,3.296969696969697,1630,495.0,0.38282828282828285,stop,True,58.519548340234905
longbench_v2,mentored_dec,alpha0.15,case_005,0,ok,2.5705705705705704,3.5705705705705704,1187,333.0,0.42842842842842843,stop,True,38.992392361629754
longbench_v2,mentored_dec,alpha0.15,case_006,0,ok,1.9780763790664782,2.9780763790664784,4209,1414.0,0.3296793965110797,stop,True,94.73171819979325
longbench_v2,mentored_dec,alpha0.15,case_007,0,ok,1.65625,2.65625,765,288.0,0.2760416666666667,stop,True,106.6730198180303
longbench_v2,mentored_dec,alpha0.15,case_008,0,ok,2.559659090909091,3.559659090909091,1252,352.0,0.4266098484848485,stop,True,84.16038147592917
longbench_v2,mentored_dec,alpha0.15,case_009,0,ok,2.776315789473684,3.776315789473684,2296,608.0,0.46271929824561403,stop,True,77.2794593339786
longbench_v2,mentored_dec,alpha0.15,case_010,0,ok,1.7419354838709677,2.741935483870968,596,217.0,0.2903225806451613,stop,True,100.99152417900041
longbench_v2,mentored_dec,alpha0.15,case_011,0,ok,2.2028985507246377,3.2028985507246377,441,138.0,0.3671497584541063,stop,True,53.699961580801755
longbench_v2,mentored_dec,alpha0.15,case_012,0,ok,1.6666666666666667,2.666666666666667,1048,393.0,0.2777777777777778,stop,True,46.165942448191345
longbench_v2,mentored_dec,alpha0.35,case_001,0,ok,2.275409836065574,3.275409836065574,1998,610.0,0.37923497267759565,stop,True,102.56062609283254
longbench_v2,mentored_dec,alpha0.35,case_002,0,ok,1.7983539094650205,2.7983539094650203,2039,729.0,0.2997256515775034,stop,True,125.01532466895878
longbench_v2,mentored_dec,alpha0.35,case_003,0,ok,2.178970917225951,3.178970917225951,1420,447.0,0.36316181953765847,stop,True,88.61202636221424
longbench_v2,mentored_dec,alpha0.55,case_001,0,ok,2.4957264957264957,3.4957264957264957,1227,351.0,0.41595441595441596,stop,True,97.65787565987557
longbench_v2,mentored_dec,alpha0.55,case_002,0,ok,2.254166666666667,3.254166666666667,779,240.0,0.37569444444444444,stop,True,114.55578976403922
longbench_v2,mentored_dec,alpha0.55,case_003,0,ok,2.549738219895288,3.549738219895288,1356,382.0,0.424956369982548,stop,True,87.52710508229211
longbench_v2,mentored_dec,alpha0.55,case_004,0,ok,2.891566265060241,3.891566265060241,1292,332.0,0.4819277108433735,stop,True,55.8351540947333
longbench_v2,mentored_dec,alpha0.55,case_005,0,ok,3.0761245674740483,4.076124567474048,1178,289.0,0.5126874279123415,stop,True,38.51085570687428
longbench_v2,mentored_dec,alpha0.55,case_006,0,ok,2.5010909090909093,3.5010909090909093,4813,1375.0,0.41684848484848486,stop,True,95.84325558971614
longbench_v2,mentored_dec,alpha0.55,case_007,0,ok,2.1198347107438016,3.1198347107438016,755,242.0,0.35330578512396693,stop,True,105.38490982586518
