dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
mtbench,cactus,alpha0.03,case_001,0,ok,4.787234042553192,5.787234042553192,1632,282.0,0.7978723404255319,stop,True,8.014455602038652
mtbench,cactus,alpha0.03,case_002,0,ok,4.544117647058823,5.544117647058823,755,136.0,0.7573529411764706,stop,True,3.4976229118183255
mtbench,cactus,alpha0.03,case_003,0,ok,3.4203389830508475,4.420338983050847,1300,295.0,0.5700564971751413,stop,True,7.047493088059127
mtbench,cactus,alpha0.03,case_004,0,ok,3.903485254691689,4.903485254691689,1828,373.0,0.6505808757819481,stop,True,9.554224506951869
mtbench,cactus,alpha0.03,case_005,0,ok,3.9384615384615387,4.938461538461539,322,65.0,0.6564102564102564,stop,True,1.4898505499586463
mtbench,cactus,alpha0.03,case_006,0,ok,2.793103448275862,3.793103448275862,329,87.0,0.46551724137931033,stop,True,1.7784589999355376
mtbench,cactus,alpha0.03,case_007,0,ok,3.1934065934065936,4.193406593406594,1907,455.0,0.5322344322344322,stop,True,10.860792754683644
mtbench,cactus,alpha0.03,case_008,0,ok,2.9488372093023254,3.9488372093023254,848,215.0,0.49147286821705427,stop,True,5.006097340025008
mtbench,cactus,alpha0.03,case_009,0,ok,3.5,4.5,116,26.0,0.5833333333333334,stop,True,0.8855044119991362
mtbench,cactus,alpha0.03,case_010,0,ok,3.378698224852071,4.378698224852071,2221,507.0,0.5631163708086785,stop,True,12.647775318939239
mtbench,cactus,alpha0.03,case_011,0,ok,4.198347107438017,5.198347107438017,3146,605.0,0.699724517906336,stop,True,16.093388366978616
mtbench,cactus,alpha0.03,case_012,0,ok,3.966666666666667,4.966666666666667,2976,600.0,0.6611111111111111,stop,True,15.878370134625584
mtbench,cactus,alpha0.03,case_013,0,ok,3.075,4.075,164,40.0,0.5125,stop,True,1.0113031156361103
mtbench,cactus,alpha0.03,case_014,0,ok,4.036363636363636,5.036363636363636,275,55.0,0.6727272727272727,stop,True,1.3021714109927416
mtbench,cactus,alpha0.03,case_015,0,ok,3.8247422680412373,4.824742268041238,1403,291.0,0.6374570446735395,stop,True,7.3021897207945585
mtbench,cactus,alpha0.03,case_016,0,ok,2.213675213675214,3.213675213675214,376,117.0,0.36894586894586895,stop,True,2.369311041198671
mtbench,cactus,alpha0.03,case_017,0,ok,3.6293785310734465,4.6293785310734465,4096,885.0,0.6048964218455744,length,False,22.869946473278105
mtbench,cactus,alpha0.03,case_018,0,ok,4.090243902439024,5.090243902439024,2086,410.0,0.6817073170731708,stop,True,10.735437587834895
mtbench,cactus,alpha0.03,case_019,0,ok,3.445859872611465,4.445859872611464,698,157.0,0.5743099787685775,stop,True,3.8489947766065598
mtbench,cactus,alpha0.03,case_020,0,ok,4.3478260869565215,5.3478260869565215,121,23.0,0.7246376811594203,stop,True,0.8490716419182718
mtbench,cactus,alpha0.03,case_021,0,ok,3.2195121951219514,4.219512195121951,345,82.0,0.5365853658536586,stop,True,1.7502502049319446
mtbench,cactus,alpha0.03,case_022,0,ok,3.6195121951219513,4.619512195121951,947,205.0,0.6032520325203252,stop,True,4.907011362258345
mtbench,cactus,alpha0.03,case_023,0,ok,3.384726224783862,4.384726224783861,3043,694.0,0.5641210374639769,stop,True,17.228995333891362
mtbench,cactus,alpha0.03,case_024,0,ok,3.24,4.24,2438,575.0,0.54,stop,True,14.385714264120907
mtbench,cactus,alpha0.03,case_025,0,ok,4.158536585365853,5.158536585365853,424,82.0,0.693089430894309,stop,True,2.394047241192311
mtbench,cactus,alpha0.03,case_026,0,ok,3.6166666666666667,4.616666666666667,830,180.0,0.6027777777777777,stop,True,4.635651791933924
mtbench,cactus,alpha0.03,case_027,0,ok,2.6954314720812182,3.6954314720812182,727,197.0,0.44923857868020306,stop,True,4.699140226002783
mtbench,cactus,alpha0.03,case_028,0,ok,4.2732673267326735,5.2732673267326735,2664,505.0,0.7122112211221122,stop,True,13.744869829155505
mtbench,cactus,alpha0.03,case_029,0,ok,4.446376811594203,5.446376811594203,1874,345.0,0.7410628019323672,stop,True,9.03692310815677
