dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
mtbench_qwen3,cactus,alpha0.03,case_001,0,ok,1.0825763831544177,2.082576383154418,2523,1211.0,0.18042939719240297,stop,False,16.306232288014144
mtbench_qwen3,cactus,alpha0.03,case_002,0,ok,0.9803646563814866,1.9803646563814867,1411,713.0,0.16339410939691446,stop,False,9.575095721054822
mtbench_qwen3,cactus,alpha0.03,case_003,0,ok,1.3424657534246576,2.3424657534246576,514,219.0,0.2237442922374429,stop,False,2.9746853690594435
mtbench_qwen3,cactus,alpha0.03,case_004,0,ok,1.8023952095808384,2.8023952095808387,1402,501.0,0.3003992015968064,stop,False,6.745044948067516
mtbench_qwen3,cactus,alpha0.03,case_005,0,ok,1.5893719806763285,2.5893719806763285,535,207.0,0.2648953301127214,stop,False,2.8184966258704662
mtbench_qwen3,cactus,alpha0.03,case_006,0,ok,1.8822984244670993,2.8822984244670993,3111,1079.0,0.31371640407784984,stop,False,14.56178422132507
mtbench_qwen3,cactus,alpha0.03,case_007,0,ok,1.6800791556728232,2.680079155672823,4064,1516.0,0.2800131926121372,stop,False,20.44369782693684
mtbench_qwen3,cactus,alpha0.03,case_008,0,ok,1.70863309352518,2.70863309352518,3010,1112.0,0.28477218225419665,stop,False,14.976385571062565
mtbench_qwen3,cactus,alpha0.03,case_009,0,ok,1.751111111111111,2.7511111111111113,620,225.0,0.29185185185185186,stop,False,3.066264424007386
mtbench_qwen3,cactus,alpha0.03,case_010,0,ok,1.6140350877192982,2.614035087719298,2231,855.0,0.26900584795321636,stop,False,11.50347255077213
mtbench_qwen3,cactus,alpha0.03,case_011,0,ok,2.0482269503546098,3.0482269503546098,2150,705.0,0.341371158392435,stop,False,9.51199693698436
mtbench_qwen3,cactus,alpha0.03,case_012,0,ok,1.821802935010482,2.8218029350104823,2693,954.0,0.30363382250174703,stop,False,12.860691188834608
mtbench_qwen3,cactus,alpha0.08,case_001,0,ok,1.5237515225334957,2.5237515225334954,2073,821.0,0.25395858708891594,stop,False,11.037668067030609
mtbench_qwen3,cactus,alpha0.08,case_002,0,ok,1.4754966887417218,2.475496688741722,1870,755.0,0.24591611479028697,stop,False,10.147752888966352
mtbench_qwen3,cactus,alpha0.08,case_003,0,ok,2.2424942263279446,3.2424942263279446,1403,433.0,0.3737490377213241,stop,False,5.847184194251895
mtbench_qwen3,cactus,alpha0.08,case_004,0,ok,2.2788461538461537,3.2788461538461537,3752,1144.0,0.3798076923076923,stop,False,15.473656089045107
mtbench_qwen3,cactus,alpha0.08,case_005,0,ok,2.18859649122807,3.18859649122807,726,228.0,0.364766081871345,stop,False,3.095843092072755
mtbench_qwen3,cactus,alpha0.08,case_006,0,ok,2.2681564245810057,3.2681564245810057,4096,1253.0,0.3780260707635009,length,False,16.948946394957602
mtbench_qwen3,cactus,alpha0.08,case_007,0,ok,1.8946996466431096,2.89469964664311,4096,1415.0,0.31578327444051824,length,False,19.137981687206775
mtbench_qwen3,cactus,alpha0.08,case_008,0,ok,1.8244343891402715,2.8244343891402712,3117,1105.0,0.3040723981900452,stop,False,14.88391255075112
mtbench_qwen3,cactus,alpha0.08,case_009,0,ok,1.8097560975609757,2.8097560975609754,577,205.0,0.3016260162601626,stop,False,2.799430998042226
mtbench_qwen3,cactus,alpha0.08,case_010,0,ok,2.0925925925925926,3.0925925925925926,2506,810.0,0.3487654320987654,stop,False,10.919980727136135
mtbench_qwen3,cactus,alpha0.08,case_011,0,ok,2.5404837013669823,3.5404837013669823,3366,951.0,0.42341395022783035,stop,False,12.866915260907263
mtbench_qwen3,cactus,alpha0.08,case_012,0,ok,2.296205630354957,3.296205630354957,2692,817.0,0.38270093839249286,stop,False,11.022703431081027
mtbench_qwen3,cactus,alpha0.18,case_001,0,ok,1.7950236966824644,2.795023696682464,2360,844.0,0.29917061611374407,stop,False,11.374855466187
mtbench_qwen3,cactus,alpha0.18,case_002,0,ok,1.2278481012658229,2.227848101265823,1407,632.0,0.20464135021097046,stop,False,8.493231186177582
mtbench_qwen3,cactus,alpha0.18,case_003,0,ok,2.0365853658536586,3.0365853658536586,497,164.0,0.3394308943089431,stop,False,2.240946057252586
mtbench_qwen3,cactus,alpha0.35,case_001,0,ok,2.9651515151515153,3.9651515151515153,2618,660.0,0.4941919191919192,stop,False,8.90694289887324
mtbench_qwen3,cactus,alpha0.35,case_002,0,ok,2.7475317348378,3.7475317348378,2658,709.0,0.45792195580629996,stop,False,9.55945456866175
mtbench_qwen3,cactus,alpha0.35,case_003,0,ok,3.603305785123967,4.6033057851239665,1669,363.0,0.6005509641873278,stop,False,4.91636431729421
mtbench_qwen3,cactus,alpha0.35,case_004,0,ok,3.0996621621621623,4.099662162162162,2428,592.0,0.5166103603603603,stop,False,7.980467796325684
mtbench_qwen3,cactus,alpha0.35,case_005,0,ok,3.0234113712374584,4.023411371237458,1201,299.0,0.5039018952062431,stop,False,4.05482869874686
mtbench_qwen3,cactus,alpha0.35,case_006,0,ok,2.8532455315145815,3.8532455315145815,4096,1063.0,0.4755409219190969,length,False,14.3909669239074
mtbench_qwen3,cactus,alpha0.35,case_007,0,ok,2.851503759398496,3.851503759398496,4096,1064.0,0.47525062656641603,length,False,14.414321206044406
mtbench_qwen3,cactus,alpha0.35,case_008,0,ok,3.066468253968254,4.066468253968254,4096,1008.0,0.5110780423280423,length,False,13.634633359964937
mtbench_qwen3,cactus,alpha0.35,case_009,0,ok,3.397129186602871,4.397129186602871,917,209.0,0.5661881977671451,stop,False,2.8621767349541187
